N	2gram	Medvedev_V	SlovoVZh
1	не может	17	16
2	точки зрения	3	14
3	может быть	23	14
4	и его	6	13
5	как бы	5	13
6	и в	26	12
7	таким образом	32	12
8	отношению к	7	11
9	по отношению	7	11
10	и не	20	10
11	если бы	3	9
12	прежде всего	13	8
13	сказать что	5	7
14	художественного произведения	6	7
15	художественную форму	2	6
16	в том	15	6
17	в нем	7	6
18	только в	8	6
19	в процессе	17	6
20	в ней	2	6
21	никогда не	5	5
22	что мы	2	5
23	в жизни	2	5
24	в виду	4	5
25	можно сказать	4	5
26	но в	2	5
27	том что	8	5
28	то же	10	5
29	как и	7	5
30	должна быть	2	5
31	хотя бы	20	5
32	а не	7	5
33	то что	7	5
34	и др	10	5
35	отнюдь не	4	5
36	в самом	4	4
37	в этом	29	4
38	не только	26	4
39	что не	3	4
40	его в	3	4
41	зависимости от	5	4
42	жизни и	3	4
43	не в	6	4
44	с другой	11	4
45	все же	6	4
46	и к	3	4
47	так и	6	4
48	от того	2	4
49	в них	5	3
50	по себе	2	3
51	о том	10	3
52	и для	2	3
53	да и	2	3
54	все эти	8	3
55	в котором	3	3
56	и наконец	2	3
57	так же	3	3
58	в своей	4	3
59	в себе	6	3
60	художественное произведение	7	3
61	еще не	2	3
62	все это	13	3
63	когда он	4	3
64	и ее	4	3
65	между тем	6	3
66	этой точки	2	3
67	но для	2	3
68	в творчестве	3	3
69	не менее	2	3
70	сих пор	2	3
71	до сих	2	3
72	в пределах	5	3
73	произведения и	7	3
74	и по	3	3
75	формы и	2	3
76	в художественном	10	3
77	того что	3	3
78	художественном произведении	4	3
79	художественного творчества	19	3
80	но и	10	3
81	для него	9	3
82	в особенности	2	2
83	в его	15	2
84	к его	2	2
85	что в	11	2
86	к ним	2	2
87	а к	2	2
88	стороны и	2	2
89	искусства и	2	2
90	с его	4	2
91	идеологического творчества	2	2
92	что и	3	2
93	это не	7	2
94	в словесном	2	2
95	она не	3	2
96	в своем	8	2
97	бы не	2	2
98	все они	2	2
99	в зависимости	6	2
100	с другими	2	2
101	зависит от	2	2
102	мы имеем	3	2
103	в то	6	2
104	одной стороны	2	2
105	в основном	7	2
106	он не	2	2
107	подчеркнуть что	2	2
108	как на	3	2
109	и потому	2	2
110	этого положения	2	2
111	но не	2	2
112	как это	12	2
113	на это	2	2
114	могут быть	8	2
115	в чем	2	2
116	рождается из	2	2
117	в форме	3	2
118	с одной	2	2
119	относится к	2	2
120	к этому	9	2
121	же самое	2	2
122	между ними	3	2
123	тогда когда	2	2
124	другой стороны	8	2
125	вместе с	8	2
126	на него	2	2
