N	3gram	Propp_Russ	Formalny
1	с точки зрения	3	40
2	и т д	12	19
3	в связи с	4	16
4	в настоящее время	3	13
5	в большинстве случаев	2	9
6	для того чтобы	6	8
7	вместе с тем	10	8
8	в свою очередь	2	7
9	и в этом	2	7
10	может быть и	3	6
11	в данном случае	7	6
12	в том что	27	6
13	мы не можем	5	5
14	в отличие от	4	5
15	к тому что	4	5
16	тем не менее	3	4
17	подобно тому как	3	4
18	но все же	2	4
19	с тем и	3	3
20	т е в	6	3
21	а н веселовского	3	3
22	потому что он	2	3
23	мы уже знаем	2	3
24	как мы увидим	5	3
25	не только на	3	3
26	с таким же	2	3
27	на самом же	2	3
28	самом же деле	2	3
29	в том чтобы	2	3
30	т е на	2	2
31	в виду что	2	2
32	иметь в виду	2	2
33	так же как	5	2
34	совершенно очевидно что	2	2
35	в это время	3	2
36	и в других	7	2
37	в этом случае	9	2
38	и в том	2	2
39	так как они	2	2
40	и для них	2	2
