N	2gram	Savitsky_P	Narrotol
1	не только	17	62
2	и не	12	50
3	но и	6	45
4	а не	2	38
5	в качестве	9	35
6	в частности	2	31
7	может быть	5	30
8	и в	14	30
9	в том	9	29
10	том что	4	28
11	в этом	10	28
12	а в	4	27
13	только в	7	25
14	не в	5	23
15	то что	4	23
16	не может	4	20
17	в себе	3	17
18	а также	4	17
19	со стороны	2	16
20	в его	2	16
21	но в	9	15
22	в жизни	2	14
23	в своем	4	13
24	то же	9	13
25	прежде всего	3	12
26	как бы	4	12
27	сводится к	3	12
28	тем самым	3	11
29	и тем	2	11
30	в нем	3	11
31	если бы	4	11
32	в мире	2	11
33	хотя и	3	11
34	в то	7	10
35	точки зрения	3	10
36	того что	2	10
37	но не	3	10
38	между тем	3	10
39	что в	4	9
40	отнюдь не	2	9
41	столь же	3	9
42	потому что	3	9
43	как раз	2	9
44	не менее	2	8
45	одна из	2	8
46	и к	4	8
47	же время	7	8
48	это не	3	7
49	вслед за	3	7
50	в ней	6	7
51	в ее	2	7
52	же в	4	7
53	в силу	2	7
54	с другой	5	7
55	в котором	4	7
56	одной стороны	3	6
57	например в	2	6
58	никак не	2	6
59	с одной	3	6
60	и о	5	5
61	не столько	2	5
62	было бы	6	5
63	мы не	3	5
64	да и	2	5
65	с ними	3	5
66	в начале	2	5
67	тем более	2	5
68	для того	3	5
69	в пределах	8	5
70	именно в	2	5
71	в русской	4	5
72	из них	2	5
73	не было	2	5
74	начала и	2	5
75	не о	2	4
76	в области	11	4
77	в них	2	4
78	хотя бы	8	4
79	исключительно в	2	4
80	и как	3	4
81	в сфере	2	4
82	и с	2	4
83	для нас	2	4
84	по себе	4	4
85	не к	2	4
86	и потому	4	3
87	к чему	2	3
88	в виде	2	3
89	и вот	2	3
90	и это	2	3
91	заключает в	2	3
92	и т	3	3
93	где в	2	3
94	в е	2	3
95	что мы	3	3
96	с точки	3	3
97	говорить о	2	3
98	как на	2	3
99	наряду с	3	3
100	в которых	5	2
101	является в	2	2
102	в общем	2	2
103	могут быть	3	2
104	быть может	6	2
105	для них	2	2
106	было в	2	2
107	но о	2	2
108	хх века	2	2
109	если в	2	2
110	и мы	2	2
111	в россии	3	2
112	церкви и	2	2
113	время в	2	2
114	должно быть	2	2
115	переход от	2	2
116	мысль о	2	2
117	но также	4	2
118	все это	2	2
119	и есть	2	2
120	во всех	2	2
121	сами по	3	2
122	есть в	2	2
123	точек зрения	2	2
124	в последние	2	2
125	еще более	2	2
126	более чем	2	2
