N	2gram	Tiupa_Hudo	FransuaR
1	и в	34	367
2	в этом	22	112
3	и т.п	2	108
4	и не	15	101
5	и его	8	99
6	в его	17	98
7	прежде всего	12	92
8	не только	22	87
9	мы уже	7	85
10	но и	13	84
11	как бы	11	82
12	все эти	4	79
13	вовсе не	2	77
14	как и	16	76
15	в нем	5	75
16	но в	6	75
17	и на	6	72
18	в том	24	71
19	как мы	5	71
20	то же	14	66
21	и все	10	66
22	так и	19	65
23	в этой	11	65
24	в них	3	65
25	в сущности	2	64
26	и с	10	64
27	в то	12	63
28	все это	2	62
29	во всех	2	62
30	же время	11	55
31	что в	8	52
32	в своем	9	51
33	только в	8	48
34	так как	2	46
35	том что	31	45
36	то что	13	41
37	жизни и	10	40
38	у него	13	40
39	в самом	7	38
40	точки зрения	7	37
41	в ней	6	37
42	с его	9	36
43	может быть	12	35
44	о том	21	35
45	сказать что	3	34
46	и даже	4	34
47	в себе	19	34
48	рядом с	5	32
49	в конце	5	32
50	он не	8	32
51	для него	15	32
52	в своей	15	31
53	до конца	3	31
54	в литературе	3	31
55	так же	3	30
56	никогда не	8	30
57	и потому	3	30
58	той же	3	30
59	один из	6	30
60	потому что	7	30
61	но он	3	30
62	в духе	6	29
63	в этих	7	29
64	не может	10	29
65	еще не	10	29
66	его в	5	29
67	не в	16	29
68	при этом	21	29
69	в одном	3	29
70	связи с	4	29
71	что он	14	29
72	из них	5	28
73	в основе	3	28
74	и к	6	28
75	роль в	2	27
76	сих пор	3	27
77	по своему	3	27
78	и другие	5	27
79	до сих	3	27
80	все же	5	27
81	все они	2	26
82	на самом	2	25
83	но это	2	25
84	отношение к	3	24
85	того чтобы	6	24
86	в ее	16	24
87	и от	6	24
88	в частности	10	24
89	например в	3	24
90	но не	7	24
91	как в	11	24
92	и у	3	24
93	он и	2	24
94	времени и	2	24
95	своего рода	19	23
96	так сказать	3	23
97	и для	5	23
98	это не	12	23
99	в их	2	23
100	с ним	6	23
101	еще и	2	23
102	есть и	3	23
103	к нему	2	23
104	и о	8	22
105	даже в	4	22
106	а в	11	22
107	что и	3	22
108	там где	2	22
109	поэтому и	2	22
110	тем что	6	22
111	вместе с	2	22
112	не было	8	22
113	именно в	9	21
114	в своих	4	21
115	в себя	3	21
116	в качестве	13	21
117	что это	2	21
118	ни в	5	21
119	уже в	2	21
120	а также	4	20
121	как раз	7	20
122	одной из	5	20
123	этом отношении	4	20
124	они были	2	20
125	в значительной	3	20
126	с точки	5	20
127	самом деле	6	20
128	и это	7	20
129	в связи	3	20
130	в форме	2	19
131	в дальнейшем	2	19
132	их в	2	19
133	хотя и	3	19
