N	3gram	Tiupa_Teor	Vvedenie
1	для того чтобы	5	22
2	в том что	10	15
3	в этом смысле	3	10
4	не может быть	5	10
5	тем не менее	3	9
6	в то же	8	6
7	в самом деле	2	6
8	то же время	8	6
9	с другой стороны	6	5
10	может быть названо	2	4
11	в данном случае	5	4
12	так или иначе	5	4
13	с одной стороны	3	4
14	по отношению к	10	4
15	в отличие от	7	4
16	с точки зрения	3	4
17	в известном смысле	2	3
18	той или иной	3	3
19	можно сказать что	3	3
20	и в самом	2	3
21	тех или иных	3	3
22	сама по себе	2	3
23	но в то	2	3
24	одно и то	2	2
25	и то же	2	2
26	тем или иным	2	2
27	состоит в том	6	2
28	подобно тому как	3	2
29	этой точки зрения	2	2
30	с этой точки	2	2
31	в соответствии с	2	2
32	и того же	4	2
33	одного и того	4	2
34	может быть и	2	2
35	в связи с	3	2
36	в свою очередь	3	2
37	не могут быть	2	2
