N	3gram	Propp_Isto	Problemy
1	по отношению к	3	18
2	не может быть	5	14
3	до сих пор	4	10
4	во всяком случае	3	9
5	с другой стороны	17	9
6	в том что	7	8
7	и т д	25	7
8	в зависимости от	3	5
9	можно было бы	3	5
10	но все же	3	5
11	тем не менее	4	4
12	более или менее	3	4
13	о том что	9	4
14	так и в	3	4
15	как и в	3	4
16	друг на друга	2	4
17	как мы видели	3	3
18	в то время	4	3
19	даже там где	2	3
20	и в других	2	3
21	в данном случае	7	3
22	нам кажется что	4	3
23	на этот вопрос	3	3
24	т е в	2	3
25	то время как	4	3
26	другой стороны и	2	3
27	в этом случае	4	3
28	то же что	2	3
29	мы увидим что	2	3
30	что и в	3	2
31	этой точки зрения	3	2
32	но тем не	2	2
33	то что в	4	2
34	но это не	3	2
35	но и на	2	2
36	и что он	2	2
37	таким образом и	3	2
38	не только в	9	2
39	вместе с тем	6	2
40	потому что у	2	2
41	в этих случаях	12	2
