N	2gram	Berdyaev_V	VLabPisa
1	в этом	4	29
2	не только	2	26
3	и в	16	26
4	и т	2	25
5	хотя бы	3	20
6	и не	20	20
7	т д	2	16
8	в том	3	15
9	в его	4	15
10	прежде всего	2	13
11	все это	5	13
12	что в	3	11
13	не могут	2	10
14	но и	5	10
15	по этому	3	10
16	для него	2	9
17	том что	2	8
18	могут быть	2	8
19	все эти	3	8
20	только в	2	8
21	это не	2	7
22	во всех	3	7
23	то что	9	7
24	тому что	3	7
25	как и	4	7
26	их в	3	7
27	в нем	4	7
28	не было	3	7
29	а не	7	7
30	не в	3	6
31	так и	4	6
32	один из	2	6
33	бы и	3	6
34	между тем	2	6
35	никогда не	3	5
36	к тому	3	5
37	как бы	5	5
38	в них	3	5
39	вот почему	2	5
40	и есть	4	5
41	одна из	2	4
42	ее в	2	4
43	что он	4	4
44	с тем	2	4
45	что все	4	4
46	в своей	3	4
47	с его	3	4
48	вслед за	2	3
49	в форме	2	3
50	в конце	3	3
51	его не	2	3
52	того что	5	3
53	нет и	2	3
54	а в	2	3
55	в котором	4	3
56	человека и	6	3
57	что не	4	3
58	жизни и	3	3
59	того чтобы	2	3
60	что и	3	3
61	что они	7	3
62	это мы	2	3
63	да и	2	2
64	самого себя	2	2
65	и потому	7	2
66	то это	3	2
67	а к	2	2
68	можно было	2	2
69	должно быть	3	2
70	в последнем	2	2
71	и никогда	2	2
72	еще не	8	2
73	в чем	3	2
74	не с	2	2
75	в жизни	3	2
76	они и	2	2
77	но не	2	2
78	и для	3	2
79	но в	3	2
80	в ней	4	2
81	в образе	4	2
82	что мы	4	2
83	для них	2	2
84	говорить о	4	2
85	и сам	2	2
86	должна быть	3	2
87	хотя и	5	2
88	лишь в	3	2
89	во всяком	2	2
