N	3gram	Bakhtin_Pr	TeoriaLi
1	в том что	6	10
2	по отношению к	12	10
3	в то же	13	8
4	то же время	13	8
5	в отличие от	4	7
6	с другой стороны	6	6
7	более или менее	4	6
8	в данном случае	2	5
9	не может быть	8	5
10	с точки зрения	21	3
11	в этом смысле	12	3
12	тем не менее	2	3
13	подобно тому как	3	3
14	можно сказать что	2	3
15	то ни было	2	2
16	бы то ни	3	2
17	не только не	2	2
18	этой точки зрения	2	2
19	в самом деле	6	2
20	во всей его	2	2
21	том что он	5	2
22	и в то	2	2
23	как и в	3	2
24	может быть и	2	2
25	сама по себе	5	2
26	в отношении к	3	2
27	но в то	7	2
