N	3gram	Bakhtin_Pr	FransuaR
1	в то же	3	55
2	то же время	3	55
3	в том что	3	27
4	в большинстве случаев	5	22
5	в этом отношении	2	20
6	с точки зрения	6	20
7	для того чтобы	2	17
8	но и в	2	15
9	и прежде всего	5	14
10	на самом деле	3	13
11	не может быть	11	13
12	с одной стороны	3	13
13	с другой стороны	4	12
14	и в то	2	12
15	все то что	3	11
16	можно сказать что	2	11
17	в отличие от	5	11
18	той или иной	2	10
19	в данном случае	4	10
20	не только в	2	10
21	по отношению к	19	9
22	так и в	2	9
23	и др в	2	8
24	в его целом	5	8
25	на первый план	2	7
26	можно было бы	3	7
27	в самом деле	3	7
28	во всех его	4	6
29	и во всех	2	6
30	то же самое	2	5
31	в основе своей	3	5
32	в том же	2	5
33	в применении к	3	5
34	и с его	2	5
35	и в частности	2	5
36	в изобразительных искусствах	2	5
37	в строгом смысле	2	4
38	начало и конец	2	4
39	как мы увидим	3	4
40	и не может	2	4
41	и в них	2	4
42	бы то ни	3	3
43	в этом смысле	3	3
44	в нашем примере	2	3
45	со всех сторон	2	3
46	не входит в	4	3
47	между тем как	5	3
48	том же самом	2	2
49	большинстве случаев не	2	2
50	и в области	2	2
51	не могут быть	2	2
52	к нему и	2	2
53	в конечном счете	4	2
54	мы можем сказать	2	2
55	то есть чисто	2	2
56	то ни было	2	2
57	мы здесь не	2	2
58	в коем случае	2	2
59	никогда не может	2	2
60	ни в коем	2	2
61	может быть только	3	2
62	и в нем	3	2
