N	2gram	Trubetskoy	Morfolog
1	может быть	17	61
2	таким образом	34	26
3	так как	7	20
4	не может	18	19
5	в этом	13	18
6	в этих	3	17
7	и в	24	17
8	и не	9	16
9	с этим	12	14
10	прежде всего	3	14
11	по существу	7	13
12	при помощи	3	12
13	связи с	4	12
14	вопрос о	3	10
15	но если	2	10
16	то же	4	10
17	в том	31	10
18	то что	18	10
19	так и	10	10
20	что в	9	10
21	что и	7	10
22	а затем	2	10
23	в связи	3	10
24	этом случае	4	10
25	все же	15	9
26	но и	11	9
27	с другой	6	9
28	не только	10	8
29	представляет собою	2	8
30	в тех	3	8
31	в результате	9	8
32	но не	3	8
33	а в	3	8
34	как мы	3	8
35	не могут	4	7
36	том что	20	7
37	по отношению	11	7
38	тем не	4	7
39	не менее	7	7
40	отношению к	11	7
41	точки зрения	14	7
42	во втором	2	7
43	потому что	9	7
44	это не	3	6
45	во всех	10	6
46	также и	2	6
47	в нашем	3	6
48	о том	7	6
49	если мы	4	6
50	с точки	8	6
51	как бы	10	6
52	вовсе не	2	6
53	одна из	2	5
54	и ее	2	5
55	хотя бы	4	5
56	мы можем	6	5
57	было бы	3	5
58	что он	7	5
59	далеко не	5	5
60	тому что	2	5
61	к тому	8	5
62	из которых	4	5
63	между тем	12	5
64	в целом	5	5
65	другой стороны	5	5
66	между собой	4	5
67	все эти	19	5
68	что они	2	5
69	он не	4	5
70	если же	3	5
71	хотя и	4	5
72	ясно что	8	5
73	на самом	7	4
74	его в	5	4
75	тех же	2	4
76	независимо от	2	4
77	так же	8	4
78	в то	6	4
79	к этому	5	4
80	на него	2	4
81	еще не	6	4
82	самом деле	12	4
83	из них	5	4
84	но в	5	4
85	но все	5	4
86	что его	4	4
87	и для	6	4
88	как и	10	4
89	этот вопрос	2	4
90	и к	5	4
91	на этом	2	4
92	несмотря на	6	4
93	того чтобы	8	4
94	говорить о	2	4
95	никто не	2	4
96	от того	3	4
97	мы уже	4	4
98	то в	2	3
99	мы должны	4	3
100	а и	8	3
101	но как	2	3
102	в настоящее	3	3
103	в которой	5	3
104	то ни	4	3
105	том случае	4	3
106	что это	5	3
107	в отдельных	2	3
108	и их	5	3
109	и у	4	3
110	целый ряд	4	3
111	друг друга	2	3
112	только что	3	3
113	если бы	8	3
114	в виде	4	3
115	состоит из	4	3
116	на первый	2	3
117	та же	4	3
118	он должен	2	3
119	из двух	2	3
120	не в	9	3
121	для того	8	3
122	и при	6	3
123	с этой	3	3
124	у нас	3	3
125	в один	2	3
126	того что	7	3
127	рассматриваться как	3	3
128	для этой	2	3
129	к нему	2	3
130	они не	2	3
131	на то	9	3
132	если это	2	3
133	вступают в	2	3
134	что при	7	3
135	заметим что	2	3
136	но для	2	3
137	настоящее время	3	3
138	должны рассматриваться	2	3
139	в начале	3	3
140	можно назвать	3	3
141	и что	9	3
142	то с	2	3
143	то время	2	3
144	и по	3	3
145	и его	2	3
146	только в	6	3
147	в сущности	2	3
148	и только	2	3
149	что эти	2	3
150	в этой	7	3
151	мы будем	3	3
152	бы то	3	3
153	в одну	4	2
154	данном случае	3	2
155	самого себя	4	2
156	не от	2	2
157	в данном	3	2
158	из этих	8	2
159	от него	3	2
160	одной стороны	2	2
161	что многие	2	2
162	и z	2	2
163	бы в	3	2
164	в другом	2	2
165	или менее	8	2
166	случае если	5	2
167	что она	2	2
168	к другу	2	2
169	в частности	2	2
170	ни было	3	2
171	можно лишь	2	2
172	одним из	4	2
173	на друга	2	2
174	ничем не	5	2
175	между собою	5	2
176	на вопрос	4	2
177	не знает	2	2
178	с одной	3	2
179	а потому	5	2
180	всех других	2	2
181	должна быть	6	2
182	друг на	2	2
183	а с	4	2
184	и более	2	2
185	с тем	4	2
186	не так	4	2
187	не имеет	2	2
188	но так	2	2
189	в в	4	2
190	она не	2	2
191	то они	4	2
192	более или	8	2
193	их в	2	2
194	но с	2	2
195	в своих	2	2
196	ту же	2	2
197	быть и	5	2
198	в которых	2	2
199	что до	2	2
200	если он	2	2
201	для нас	3	2
202	очень много	3	2
203	что мы	4	2
204	что же	2	2
205	всяком случае	2	2
206	может не	3	2
207	друг к	2	2
208	должны быть	3	2
209	тогда как	6	2
210	что эта	4	2
211	ответить на	2	2
212	себя и	2	2
213	все это	13	2
214	в основе	2	2
215	у него	5	2
216	как будто	5	2
217	случаях когда	3	2
218	из таких	2	2
219	в совершенно	3	2
220	для него	2	2
221	во всяком	2	2
222	по своему	5	2
223	тем же	2	2
224	многих других	2	2
225	чем в	3	2
