N	2gram	Tiupa_Anal	Hudozhes
1	в качестве	22	31
2	то есть	15	26
3	в мире	17	24
4	и в	36	23
5	не только	40	20
6	состоит в	14	20
7	в том	16	20
8	может быть	19	19
9	при этом	19	19
10	в частности	19	18
11	и не	14	16
12	тогда как	37	15
13	но и	26	14
14	в рамках	10	13
15	литературного произведения	8	13
16	а в	17	13
17	в себе	7	13
18	я в	15	13
19	художественного текста	3	13
20	но не	13	13
21	в тексте	16	13
22	модуса художественности	5	13
23	а не	16	13
24	произведение искусства	4	12
25	то же	7	12
26	такого рода	11	12
27	в этом	19	12
28	и его	18	12
29	так и	19	12
30	эстетического отношения	6	11
31	как бы	14	11
32	точки зрения	3	11
33	представляет собой	7	11
34	в его	12	11
35	сводится к	5	11
36	но в	8	10
37	по отношению	9	10
38	отношению к	9	10
39	не в	9	9
40	или иной	9	9
41	том что	19	9
42	коммуникативного события	14	9
43	присутствия в	5	9
44	не может	3	9
45	с другой	10	9
46	своего рода	17	9
47	в искусстве	3	9
48	в то	8	8
49	в миропорядке	10	8
50	себя в	6	8
51	в принципе	3	8
52	его внешней	2	8
53	в самом	7	7
54	и т.п	7	7
55	по своей	5	7
56	отношение к	2	7
57	внутреннего зрения	4	7
58	я и	6	7
59	лишь в	9	7
60	в своей	12	7
61	только в	9	7
62	же время	7	7
63	как это	7	7
64	что в	15	7
65	отличие от	5	7
66	в отличие	5	7
67	в основе	2	7
68	не столько	4	7
69	в состав	2	6
70	внутреннего я	2	6
71	всего лишь	13	6
72	мы имеем	5	6
73	модус художественности	7	6
74	уже не	9	6
75	другой стороны	7	6
76	по сути	2	6
77	приводит к	5	6
78	а также	5	6
79	присутствия я	5	6
80	объектной организации	4	6
81	художественности в	8	6
82	в нем	3	6
83	с ее	3	6
84	можно сказать	5	6
85	в ее	5	6
86	с его	15	6
87	я с	7	5
88	тем самым	8	5
89	субъектной организации	3	5
90	той или	6	5
91	или иначе	5	5
92	картина мира	5	5
93	художественной реальности	17	5
94	самим собой	3	5
95	конечном счете	5	5
96	могут быть	4	5
97	в конечном	5	5
98	я есть	3	5
99	между ними	3	5
100	и одновременно	6	5
101	место в	4	5
102	как к	2	5
103	не предполагает	2	5
104	лирический герой	4	5
105	иначе говоря	5	5
106	внешней заданности	2	5
107	кто говорит	3	5
108	в ходе	3	5
109	а на	2	5
110	со стороны	12	5
