N	3gram	Trubetskoy	Istorich
1	с другой стороны	4	46
2	до сих пор	15	30
3	в этом случае	4	29
4	с одной стороны	2	28
5	так же как	3	27
6	мы знаем что	7	26
7	в том что	16	25
8	не может быть	4	24
9	тем не менее	4	23
10	вместе с тем	3	23
11	но все же	2	23
12	о том что	4	22
13	в связи с	3	17
14	в данном случае	3	15
15	по отношению к	11	14
16	на то что	7	14
17	в то время	2	13
18	во всех этих	2	11
19	как и в	2	10
20	более или менее	8	9
21	но так как	2	9
22	друг с другом	9	9
23	но вместе с	2	8
24	совершенно так же	4	8
25	и то что	3	8
26	во всяком случае	2	7
27	к тому же	5	6
28	все же не	3	6
29	на самом деле	7	5
30	для того чтобы	7	5
31	о том чтобы	2	4
32	он не может	2	4
33	с точки зрения	8	4
34	и может быть	2	4
35	так или иначе	5	4
36	друг на друга	2	4
37	только то что	2	4
38	бы то ни	3	3
39	то ни было	3	3
40	каждый из этих	2	3
41	не в состоянии	3	3
42	сих пор не	5	3
43	таким образом в	3	3
44	он все же	2	3
45	по сравнению с	5	3
46	в самом деле	5	2
47	может быть и	4	2
48	и в том	2	2
49	ничего общего с	2	2
50	то ясно что	4	2
51	друг от друга	6	2
52	том что он	2	2
53	ответить на вопрос	2	2
54	между этими двумя	2	2
55	указывают на то	2	2
56	в свою очередь	2	2
