N	2gram	Vinokur_Ku	VLabPisa
1	таким образом	17	32
2	в этом	31	29
3	не только	29	26
4	и в	44	26
5	и т	62	25
6	может быть	25	23
7	хотя бы	19	20
8	и не	23	20
9	т е	54	18
10	не может	13	17
11	т д	21	16
12	в том	47	15
13	в его	16	15
14	этом отношении	8	14
15	в силу	16	14
16	прежде всего	14	13
17	все это	10	13
18	в частности	6	12
19	письме к	2	12
20	как это	6	12
21	в качестве	12	12
22	что в	25	11
23	с другой	14	11
24	из них	4	11
25	то же	12	10
26	не могут	5	10
27	но и	13	10
28	о том	10	10
29	к этому	4	9
30	об этом	4	9
31	т п	39	9
32	для него	2	9
33	в своем	4	8
34	том что	30	8
35	не следует	6	8
36	могут быть	5	8
37	другой стороны	12	8
38	все эти	17	8
39	было бы	28	8
40	только в	15	8
41	вместе с	8	8
42	очевидно что	4	7
43	это не	13	7
44	из этих	5	7
45	вот например	2	7
46	по отношению	9	7
47	в году	3	7
48	то что	14	7
49	отношению к	9	7
50	тому что	3	7
51	как и	3	7
52	в нем	7	7
53	в конечном	3	7
54	главным образом	3	7
55	не было	6	7
56	же в	5	7
57	а не	17	7
58	не в	18	6
59	в то	4	6
60	в себе	4	6
61	или менее	3	6
62	это и	6	6
63	все же	17	6
64	том же	3	6
65	у него	3	6
66	в искусстве	2	6
67	так и	10	6
68	более или	3	6
69	приводит к	3	6
70	один из	8	6
71	в зависимости	7	6
72	и его	8	6
73	бы и	6	6
74	между тем	11	6
75	никогда не	2	5
76	даже в	4	5
77	сказать что	5	5
78	в одном	4	5
79	конечном счете	2	5
80	перед нами	4	5
81	в результате	8	5
82	в пределах	8	5
83	зависимости от	9	5
84	в их	3	5
85	не является	2	5
86	одним из	2	5
87	и при	3	5
88	к тому	8	5
89	как бы	11	5
90	утверждать что	2	5
91	в них	10	5
92	в целом	5	5
93	связи с	8	5
94	же время	4	5
95	и есть	3	5
96	на основе	2	5
97	по поводу	2	4
98	в нашей	4	4
99	только что	2	4
100	роль в	6	4
101	в виду	7	4
102	в статье	3	4
103	это только	5	4
104	ее в	2	4
105	что он	7	4
106	по существу	9	4
107	с тем	5	4
108	что все	6	4
109	что для	3	4
110	когда он	4	4
111	должен быть	8	4
112	отнюдь не	5	4
113	в самом	20	4
114	как раз	10	4
115	в ее	2	4
116	с ними	6	4
117	в своей	4	4
118	в связи	4	4
119	можно сказать	6	4
120	в этой	8	4
121	с его	4	4
122	и от	2	3
123	никак не	5	3
124	например в	5	3
125	с этим	6	3
126	мы имеем	11	3
127	так же	8	3
128	но как	2	3
129	и он	4	3
130	том как	3	3
131	например что	2	3
132	всех этих	4	3
133	бы в	8	3
134	но даже	3	3
135	в форме	3	3
136	в конце	5	3
137	и как	3	3
138	если бы	21	3
139	как о	2	3
140	для того	23	3
141	и их	2	3
142	у нас	19	3
143	как на	4	3
144	мы знаем	3	3
145	того что	11	3
146	так называемые	5	3
147	образом в	3	3
148	п в	3	3
149	мы видели	3	3
150	далеко не	2	3
151	этот вопрос	7	3
152	что у	3	3
153	а в	7	3
154	всего лишь	3	3
155	или меньшей	2	3
156	в котором	4	3
157	именно в	7	3
158	точки зрения	25	3
159	даже и	5	3
160	в которых	8	3
161	что оно	6	3
162	между ними	2	3
163	большей или	2	3
164	что не	10	3
165	того чтобы	25	3
166	что и	5	3
167	сводится к	3	3
168	и по	4	3
169	или в	5	3
170	этой области	3	3
171	что они	5	3
172	же и	4	3
173	в слове	3	3
174	вовсе не	18	3
175	это особенно	2	2
176	в целях	2	2
177	относится к	3	2
178	также что	2	2
179	если в	2	2
180	да и	5	2
181	на это	3	2
182	или иной	3	2
183	меньшей степени	2	2
184	и потому	6	2
185	того или	6	2
186	как например	3	2
187	которые в	2	2
188	никаких оснований	2	2
189	еще и	7	2
190	слова не	2	2
191	только то	2	2
192	то это	3	2
193	так сказать	5	2
194	о чем	2	2
195	одной стороны	2	2
196	крайней мере	11	2
197	можно было	14	2
198	этого рода	6	2
199	который по	2	2
200	в каждом	3	2
201	должно быть	6	2
202	что она	5	2
203	в последнем	2	2
204	отличается от	2	2
205	в другом	2	2
206	а во-вторых	2	2
207	что нет	2	2
208	и даже	5	2
209	от того	5	2
210	например не	2	2
211	чуть ли	3	2
212	и у	3	2
213	ли не	4	2
214	вообще и	2	2
215	конце концов	3	2
216	в особенности	6	2
217	конечном итоге	2	2
218	не всегда	4	2
219	в области	15	2
220	только для	3	2
221	в науке	4	2
222	достоевского и	2	2
223	еще не	10	2
224	как у	2	2
225	в которой	7	2
226	не приходится	2	2
227	между собою	3	2
228	понимать как	2	2
229	по крайней	11	2
230	льва толстого	2	2
231	в чем	2	2
232	сих пор	5	2
233	с одной	3	2
234	после того	3	2
235	что даже	2	2
236	заключается в	3	2
237	но вот	3	2
238	не с	4	2
239	так например	3	2
240	что его	2	2
241	к ним	2	2
242	том чтобы	9	2
243	но не	11	2
244	и для	3	2
245	также и	7	2
246	не менее	12	2
247	ознакомиться с	3	2
248	но в	11	2
249	следует что	6	2
250	они не	4	2
251	на то	6	2
252	в общем	4	2
253	ли это	4	2
254	что такое	8	2
255	мы наблюдаем	2	2
256	знаем что	3	2
257	в своих	2	2
258	себе и	3	2
259	в ней	6	2
260	в сфере	3	2
