N	2gram	Bakhtin_KF	VelikijI
1	и не	28	20
2	и в	28	16
3	то что	7	9
4	еще не	5	8
5	и потому	2	7
6	а не	17	7
7	не есть	22	6
8	человека и	3	6
9	в мире	8	5
10	как бы	9	5
11	но и	9	5
12	все это	10	5
13	что есть	2	5
14	того что	3	5
15	и все	9	4
16	как и	5	4
17	в котором	24	4
18	потому что	2	4
19	в нем	32	4
20	в ней	3	4
21	что не	3	4
22	во мне	3	4
23	и я	6	4
24	в его	42	4
25	говорить о	2	4
26	в этом	15	4
27	что он	2	4
28	и есть	10	4
29	так и	2	4
30	никогда не	5	3
31	в жизни	2	3
32	что в	4	3
33	в том	6	3
34	и для	10	3
35	от этого	2	3
36	не имеет	6	3
37	тому что	2	3
38	но в	5	3
39	ни в	12	3
40	но это	6	3
41	бы и	3	3
42	должно быть	6	3
43	оно не	2	3
44	хотя бы	5	3
45	этого мира	3	3
46	в своей	11	3
47	во всех	11	3
48	к чему	3	3
49	жизни и	8	3
50	что и	7	3
51	и мы	2	3
52	не было	8	3
53	лишь в	8	3
54	если не	2	3
55	не в	13	3
56	все эти	11	3
57	что я	5	3
58	должна быть	4	3
59	в чем	4	3
60	тот же	3	3
61	с его	2	3
62	и то	2	2
63	с тем	2	2
64	но не	12	2
65	нет и	3	2
66	ее и	6	2
67	и это	12	2
68	это не	10	2
69	не только	5	2
70	а в	5	2
71	том что	4	2
72	своей истории	2	2
73	во главе	2	2
74	его к	2	2
75	от него	3	2
76	уже не	7	2
77	могут быть	3	2
78	когда я	3	2
79	один из	2	2
80	ценности и	4	2
81	не будет	2	2
82	того чтобы	2	2
83	мира в	6	2
84	тем что	3	2
85	мы не	3	2
86	конечно не	7	2
87	только в	18	2
88	и за	2	2
89	его и	2	2
90	от своей	5	2
91	для нас	4	2
92	в себя	8	2
93	людей и	3	2
94	прежде всего	4	2
95	с ним	5	2
96	между тем	4	2
97	а с	2	2
98	для него	13	2
