N	3gram	Losev_Vesc	VerxiiNi
1	вместе с тем	3	8
2	с одной стороны	3	7
3	с точки зрения	6	6
4	во всяком случае	2	6
5	для того чтобы	2	5
6	по крайней мере	10	5
7	друг с другом	2	5
8	более или менее	4	5
9	но все же	2	4
10	о том что	4	4
11	в конце концов	2	3
12	так же как	2	3
13	и таким образом	2	3
14	так или иначе	5	3
15	тем не менее	11	3
16	в том что	9	3
17	а так как	2	3
18	то ни было	12	2
19	и в этом	2	2
20	бы то ни	12	2
21	можно сказать что	3	2
22	на то что	7	2
23	то что он	2	2
24	в то же	5	2
25	то ясно что	2	2
26	есть как бы	3	2
27	то же время	4	2
28	этой точки зрения	3	2
29	с этой точки	3	2
30	в этом отношении	2	2
31	по сравнению с	7	2
