N	2gram	Tiupa_Hudo	PoTuStor
1	может быть	19	17
2	и в	23	16
3	в этом	12	9
4	таким образом	3	9
5	прежде всего	5	9
6	точки зрения	11	8
7	не может	9	8
8	и его	12	8
9	сказать что	4	7
10	не только	20	7
11	с его	6	7
12	и это	2	6
13	с точки	3	6
14	самом деле	2	6
15	я и	7	6
16	и к	3	6
17	для него	5	6
18	при этом	19	6
19	ни в	5	5
20	все эти	2	5
21	что такое	2	5
22	как бы	11	5
23	еще не	4	5
24	в чем	2	5
25	отношение к	7	5
26	и на	3	4
27	все это	2	4
28	его в	4	4
29	в его	11	4
30	и ее	3	4
31	но и	14	4
32	и не	16	4
33	но в	10	4
34	в этой	2	4
35	с ее	6	4
36	и может	2	4
37	только в	7	4
38	в нем	6	4
39	с ними	2	4
40	можно сказать	6	4
41	так и	12	4
42	отнюдь не	2	4
43	художественного творчества	6	4
44	что в	7	3
45	и притом	3	3
46	и как	4	3
47	и потому	2	3
48	а в	13	3
49	в том	20	3
50	их в	3	3
51	с другими	5	3
52	между ними	5	3
53	в области	8	3
54	в этих	4	3
55	в конечном	5	3
56	отношения к	4	3
57	с их	2	3
58	как это	7	3
59	то что	5	3
60	во всех	3	3
61	мира и	2	3
62	могут быть	5	3
63	в одном	3	3
64	этом смысле	3	3
65	и др	2	3
66	на этом	2	3
67	том что	9	3
68	в основе	7	3
69	один из	2	2
70	никогда не	2	2
71	по своему	3	2
72	в них	2	2
73	сознания при	2	2
74	в жизни	3	2
75	в каком	2	2
76	в одно	2	2
77	и для	3	2
78	и по	2	2
79	а на	5	2
80	что и	2	2
81	не менее	5	2
82	ее в	2	2
83	сводится к	11	2
84	о том	2	2
85	то же	12	2
86	как и	3	2
87	что он	5	2
88	так же	2	2
89	говорить о	4	2
90	того же	3	2
91	в своей	7	2
92	себя и	3	2
93	ни было	2	2
94	из этих	3	2
95	но как	2	2
96	в самом	7	2
97	с этой	3	2
98	не на	5	2
99	в частности	18	2
100	что можно	3	2
101	он не	4	2
102	у него	2	2
103	своей жизни	2	2
104	во всей	3	2
105	для меня	2	2
106	если мы	2	2
107	при всей	2	2
108	и о	4	2
109	оно не	2	2
110	в душе	9	2
111	за пределы	2	2
112	конечном счете	5	2
113	из тех	2	2
114	только и	2	2
115	не знает	4	2
116	в пределах	3	2
117	и т.п	7	2
118	есть в	3	2
119	не будет	3	2
120	на основе	2	2
121	с ним	2	2
122	между собой	2	2
123	в итоге	2	2
