N	3gram	Voloshinov	Myshleni
1	в том что	4	133
2	с точки зрения	2	89
3	по отношению к	11	42
4	с одной стороны	2	39
5	то же самое	2	31
6	с другой стороны	2	26
7	не может быть	7	23
8	в зависимости от	2	22
9	можно сказать что	5	21
10	этой точки зрения	3	17
11	до сих пор	3	17
12	в данном случае	2	15
13	тем не менее	3	12
14	одно и то	2	12
15	и то же	2	12
16	в такой же	2	11
17	одной стороны и	2	10
18	на самом деле	2	9
19	имеет в виду	3	6
20	и не может	3	6
21	мы никогда не	2	5
22	как если бы	4	5
23	находит свое выражение	2	5
24	в какой степени	2	4
25	бы то ни	3	3
26	то ни было	3	3
27	отношение к предмету	2	3
28	в каком отношении	2	3
29	имеем в виду	2	3
30	только в процессе	2	3
31	в нашем примере	7	3
32	в настоящее время	2	3
33	дело в том	4	3
34	так как если	4	2
35	вторая точка зрения	2	2
36	до известной степени	2	2
37	и для других	2	2
38	но тем не	2	2
39	ни на один	2	2
40	и по отношению	3	2
