N	2gram	Bakhtin_Pr	KulturaY
1	и т	14	143
2	т е	44	102
3	т п	10	93
4	и в	64	84
5	в том	12	74
6	потому что	8	68
7	не только	26	60
8	точки зрения	31	59
9	в этом	33	57
10	было бы	8	53
11	и не	55	52
12	может быть	43	47
13	том что	8	44
14	того чтобы	2	44
15	что в	11	44
16	т д	4	42
17	в самом	17	41
18	у нас	3	38
19	самом деле	10	37
20	хотя бы	4	37
21	так как	9	36
22	с точки	21	36
23	таким образом	15	33
24	а не	29	33
25	можно было	3	32
26	если бы	12	32
27	не в	15	30
28	прежде всего	16	30
29	в его	30	30
30	и пр	5	30
31	все же	11	29
32	того что	3	28
33	не менее	3	28
34	все эти	13	28
35	уже не	15	26
36	не может	26	25
37	то что	21	25
38	вовсе не	12	25
39	вопрос о	3	24
40	еще не	10	24
41	с другой	7	24
42	так и	8	23
43	то же	18	23
44	только в	13	23
45	с помощью	2	23
46	тем не	2	21
47	во всяком	7	20
48	но и	26	20
49	по себе	16	20
50	и что	5	20
51	что он	15	19
52	но в	14	19
53	зависимости от	5	19
54	тем что	6	19
55	о том	5	19
56	всяком случае	4	19
57	что же	9	19
58	между тем	7	18
59	связи с	3	18
60	все это	9	18
61	к тому	4	18
62	в сущности	10	18
63	как бы	33	18
64	и с	9	18
65	это не	12	17
66	как раз	9	17
67	что это	2	17
68	другой стороны	6	17
69	в той	5	17
70	слова и	8	17
71	в виду	3	16
72	ничего не	8	16
73	в зависимости	5	16
74	что не	3	16
75	что и	7	16
76	тот же	2	16
77	но не	12	16
78	по отношению	12	15
79	один из	3	15
80	а в	10	15
81	при этом	8	15
82	того как	3	15
83	в данном	2	15
84	должно быть	8	15
85	целый ряд	2	15
86	лишь в	4	15
87	именно в	5	15
88	не было	5	15
89	как на	4	15
90	в нашем	2	15
91	в них	5	14
92	хотя и	5	14
93	я не	6	14
94	как мы	13	14
95	сказать что	4	14
96	отношению к	12	14
97	сих пор	9	14
98	также и	3	14
99	что такое	2	14
100	если мы	3	14
101	и на	16	14
102	в ней	2	14
103	до сих	9	14
104	не могут	10	13
105	это и	5	13
106	по существу	6	13
107	крайней мере	2	13
108	что она	7	13
109	по крайней	2	13
110	в пределах	24	13
111	в этой	5	13
112	в которых	4	13
113	для нас	2	13
114	там где	12	13
115	и его	21	13
116	той же	8	13
117	этот вопрос	4	12
118	для этого	3	12
119	с этой	2	12
120	как в	7	12
121	того же	3	12
122	могут быть	9	12
123	этого слова	3	12
124	в рамках	2	12
125	в результате	7	12
126	речь в	2	12
127	однако не	3	12
128	в их	6	11
129	в своем	12	11
130	речи и	4	11
131	на себе	3	11
132	те же	3	11
133	из этих	3	11
134	должна быть	8	11
135	в нем	28	11
136	этом отношении	3	11
137	совершенно не	5	11
138	и здесь	6	11
139	слова в	12	11
140	в какой	2	11
141	и если	2	11
142	уже в	5	11
143	он не	14	11
144	так же	8	10
145	в то	15	10
146	они не	5	10
147	как и	25	10
