N	2gram	Tiupa_Anal	KulturaY
1	и т	3	143
2	т п	3	93
3	и в	30	84
4	в том	36	74
5	потому что	3	68
6	не только	30	60
7	точки зрения	10	59
8	в этом	31	57
9	было бы	4	53
10	и не	33	52
11	может быть	33	47
12	том что	21	44
13	того чтобы	3	44
14	что в	7	44
15	для того	4	41
16	в самом	12	41
17	самом деле	3	37
18	хотя бы	4	37
19	так как	3	36
20	с точки	6	36
21	в области	4	34
22	таким образом	5	33
23	а не	25	33
24	если бы	6	32
25	не в	17	30
26	прежде всего	8	30
27	в его	15	30
28	все же	4	29
29	того что	5	28
30	не менее	5	28
31	все эти	3	28
32	в силу	4	26
33	уже не	6	26
34	не может	26	25
35	то что	11	25
36	вовсе не	4	25
37	вопрос о	2	24
38	еще не	5	24
39	с другой	7	24
40	так и	16	23
41	то же	12	23
42	только в	8	23
43	тем не	3	21
44	но и	29	20
45	по себе	6	20
46	и что	2	20
47	что он	3	19
48	но в	11	19
49	языка и	2	19
50	речи в	3	19
51	тем что	2	19
52	о том	11	19
53	что же	3	19
54	между тем	7	18
55	связи с	2	18
56	все это	2	18
57	в качестве	38	18
58	к тому	12	18
59	в сущности	10	18
60	как бы	15	18
61	и с	2	18
62	вместе с	6	18
63	это не	7	17
64	как раз	5	17
65	как это	5	17
66	другой стороны	2	17
67	в той	8	17
68	в виду	2	16
69	ничего не	10	16
70	что не	3	16
71	что и	5	16
72	тот же	2	16
73	но не	13	16
74	по отношению	10	15
75	и тем	4	15
76	один из	4	15
77	а в	11	15
78	при этом	20	15
79	в данном	6	15
80	должно быть	2	15
81	лишь в	12	15
82	том чтобы	7	15
83	именно в	6	15
84	в нашем	3	15
85	в связи	2	14
86	хотя и	4	14
87	я не	2	14
88	как мы	3	14
89	сказать что	2	14
90	мы имеем	9	14
91	отношению к	9	14
92	также и	3	14
93	и на	10	14
94	не могут	3	13
95	крайней мере	4	13
96	по крайней	4	13
97	в пределах	11	13
98	не случайно	11	13
99	в этой	12	13
100	и его	9	13
101	той же	4	13
102	для этого	2	12
103	вопроса о	4	12
104	с этой	2	12
105	как в	3	12
106	того же	7	12
107	тогда когда	3	12
108	могут быть	12	12
109	этого слова	10	12
110	в рамках	5	12
111	в результате	3	12
112	язык есть	2	12
113	говорить о	3	12
114	однако не	4	12
115	или иной	8	11
116	должен быть	6	11
117	в их	8	11
118	в своем	2	11
119	речи и	2	11
120	на себе	3	11
121	те же	3	11
