N	2gram	Bakhtin_Fr	VelikijI
1	и не	25	20
2	и в	68	16
3	так как	7	9
4	то что	11	9
5	еще не	3	8
6	в истории	5	8
7	и потому	6	7
8	что они	3	7
9	а не	6	7
10	в мире	6	5
11	как бы	7	5
12	но и	17	5
13	все это	6	5
14	хотя и	2	5
15	того что	3	5
16	что все	2	4
17	и все	16	4
18	как и	17	4
19	в котором	3	4
20	потому что	3	4
21	все что	4	4
22	в нем	12	4
23	в ней	6	4
24	в его	21	4
25	в этом	28	4
26	что он	7	4
27	и есть	5	4
28	так и	8	4
29	никогда не	2	3
30	превращается в	4	3
31	что в	14	3
32	в том	12	3
33	и для	6	3
34	от этого	2	3
35	за то	2	3
36	но в	20	3
37	ни в	6	3
38	их в	7	3
39	но это	5	3
40	хотя бы	2	3
41	в своей	11	3
42	во всех	8	3
43	в конце	8	3
44	в них	19	3
45	жизни и	6	3
46	в первый	2	3
47	что и	3	3
48	и мы	2	3
49	не было	7	3
50	лишь в	3	3
51	и что	2	3
52	не в	2	3
53	все эти	16	3
54	первый раз	2	3
55	в этих	8	3
56	что я	2	3
57	и они	5	3
58	в чем	3	3
59	тот же	4	3
60	с его	6	3
61	и то	2	2
62	да и	2	2
63	они и	4	2
64	одна из	3	2
65	не так	3	2
66	но не	4	2
67	на тебя	2	2
68	в прошлом	2	2
69	и это	5	2
70	это не	5	2
71	не только	21	2
72	а в	3	2
73	том что	6	2
74	мир и	2	2
75	на том	2	2
76	его к	3	2
77	и во	6	2
78	во всяком	2	2
79	мы слышим	8	2
80	уже не	2	2
81	не к	2	2
82	в духе	11	2
83	в последнем	2	2
84	так много	3	2
85	один из	9	2
86	превращаются в	2	2
87	того чтобы	6	2
88	мира в	2	2
89	тем что	6	2
90	мы не	3	2
91	конечно не	4	2
92	что было	3	2
93	можно было	3	2
94	только в	9	2
95	до того	2	2
96	и сам	5	2
97	и за	3	2
98	в форме	3	2
99	в себя	2	2
100	прежде всего	23	2
101	с ним	3	2
102	между тем	3	2
103	для него	7	2
