N	2gram	Berdyaev_O	Analitik
1	не только	11	71
2	и в	19	66
3	но и	13	57
4	в том	5	52
5	может быть	11	52
6	в этом	12	51
7	как и	6	50
8	и не	13	48
9	а не	11	42
10	том что	2	40
11	так и	2	35
12	не может	4	29
13	как бы	3	29
14	а в	5	28
15	в его	7	27
16	и его	4	27
17	не в	11	26
18	в себе	3	24
19	в этой	5	22
20	что в	4	22
21	лишь в	7	21
22	о том	3	20
23	но в	2	19
24	в своей	2	19
25	в самом	5	19
26	с его	4	19
27	могут быть	3	16
28	то что	5	16
29	что и	2	16
30	не есть	2	15
31	прежде всего	9	15
32	и на	2	15
33	по себе	2	13
34	ничего не	2	13
35	для него	5	13
36	он не	7	13
37	никогда не	9	12
38	и к	2	12
39	еще не	3	12
40	это не	3	11
41	все же	2	10
42	было бы	3	10
43	в своем	2	9
44	того что	3	9
45	в русской	3	9
46	что он	3	8
47	и все	10	8
48	хотя и	2	8
49	о его	5	8
50	с ним	3	8
51	в другом	2	7
52	в ее	2	7
53	все это	6	7
54	и для	2	7
55	у него	22	7
56	личности и	2	7
57	его в	2	6
58	что не	4	6
59	в нем	10	6
60	он был	8	6
61	и то	2	6
62	хотя бы	3	6
63	уже в	2	6
64	и потому	2	5
65	не могут	3	5
66	жизни в	2	5
67	так что	2	5
68	он в	2	5
69	все эти	4	5
70	человека к	2	5
71	одно из	2	5
72	к этому	2	5
73	и он	8	5
74	мысль о	2	5
75	для того	3	5
76	в этих	3	5
77	тем что	2	5
78	ни с	7	5
79	все что	3	5
80	в глубине	7	5
81	и ее	3	4
82	отношение к	5	4
83	как к	2	4
84	и о	2	4
85	к нему	3	4
86	потому что	9	4
87	его не	2	4
88	что же	2	4
89	того чтобы	4	4
90	сказать что	2	4
91	и от	3	4
92	не все	2	4
93	в которой	2	4
94	человека в	11	4
95	ее в	2	4
96	в своих	3	4
97	не было	9	4
98	и есть	3	4
99	вопрос о	10	3
100	от него	7	3
101	человека и	10	3
102	ведь это	2	3
103	всего в	2	3
104	с тем	2	3
105	к этой	2	3
106	быть может	3	3
107	что все	2	3
108	что они	2	3
109	никто не	3	3
110	все еще	2	3
111	так как	2	3
112	должно быть	2	3
113	это было	3	3
114	ничто не	2	3
115	есть лишь	4	3
116	что у	2	3
117	когда он	3	3
118	и с	2	3
119	он сам	4	3
120	только одно	3	3
121	но он	7	3
122	для человека	2	2
123	человек и	4	2
124	своей жизни	2	2
125	этом он	2	2
126	в уста	2	2
127	т е	4	2
128	нет ничего	7	2
129	этого мира	2	2
130	и вот	3	2
131	должен был	2	2
132	не имеет	2	2
133	в самой	9	2
134	ко всем	2	2
135	учение о	2	2
136	о которой	2	2
