N	2gram	Propp_Isto	RusskieA
1	и в	43	79
2	в том	13	64
3	том что	12	59
4	что в	29	57
5	т е	36	54
6	не только	28	41
7	во время	8	38
8	так как	13	34
9	в этом	25	33
10	и другие	6	33
11	состоит в	4	32
12	как бы	5	31
13	но и	24	31
14	в других	6	30
15	как и	9	28
16	может быть	22	28
17	и на	7	28
18	в этот	6	26
19	одна из	2	24
20	и т	33	23
21	о том	4	23
22	при этом	4	22
23	т д	30	21
24	это не	10	20
25	е в	2	20
26	как мы	11	20
27	а в	13	20
28	там же	2	20
29	из них	7	19
30	представляют собой	5	18
31	все это	4	18
32	с тем	3	17
33	потому что	8	17
34	д к	6	17
35	показывает что	13	17
36	то что	20	17
37	об этом	8	17
38	таким образом	15	17
39	вместе с	12	17
40	мы не	3	16
41	во многих	2	16
42	один из	7	15
43	у нас	7	14
44	мы видели	18	14
45	для нас	6	14
46	не менее	6	14
47	в них	6	14
48	как это	5	14
49	тем не	6	14
50	и не	16	14
51	и с	10	14
52	и что	6	14
53	так что	8	13
54	к зеленин	5	13
55	и по	6	13
56	к этому	10	13
57	не может	8	13
58	еще не	15	13
59	как в	6	13
60	уже не	11	13
61	в которых	7	13
62	в некоторых	9	13
63	этот обряд	2	12
64	в виде	2	12
65	между собой	2	12
66	этом случае	8	12
67	мы имеем	24	12
68	тем что	8	12
69	что на	6	11
70	а на	5	11
71	следующим образом	3	11
72	а затем	6	11
73	но это	5	11
74	мы увидим	6	11
75	в дом	13	11
76	не имеет	3	11
77	далеко не	3	11
78	в лесу	39	11
79	его в	7	10
80	так и	6	10
81	по существу	3	10
82	так например	3	10
83	между тем	2	10
84	все же	13	10
85	что и	17	10
86	а также	5	10
87	в течение	6	10
88	представляет собой	6	10
89	или в	14	10
90	данном случае	6	9
91	но в	15	9
92	к жизни	2	9
93	и все	4	9
94	что они	14	9
95	того как	3	9
96	с ней	6	9
97	то же	11	9
98	но не	10	9
99	видно что	5	9
100	в русском	3	9
101	на голову	5	9
102	земли и	2	9
103	так же	16	8
104	после этого	2	8
105	того что	8	8
106	одно из	2	8
107	в данном	7	8
108	на себя	5	8
109	их в	6	8
110	же в	6	8
111	связи с	9	8
112	представление о	3	8
113	что это	4	8
114	не все	7	8
