N	2gram	Tiupa_Lite	Tvorches
1	у достоевского	2	91
2	и в	26	56
3	как бы	8	41
4	в его	9	37
5	в то	12	30
6	то же	13	25
7	не только	29	24
8	но в	5	24
9	в году	18	24
10	же время	12	24
11	то есть	11	23
12	и его	7	23
13	и не	19	23
14	а в	5	23
15	как и	13	23
16	и т	2	22
17	в этом	19	22
18	в том	22	21
19	что в	7	21
20	том что	19	19
21	он не	4	19
22	может быть	24	19
23	потому что	5	19
24	у него	5	18
25	то что	14	18
26	что он	8	17
27	и на	5	17
28	таким образом	4	17
29	никогда не	5	16
30	прежде всего	14	16
31	как в	5	16
32	при этом	23	16
33	не может	10	16
34	но и	25	16
35	в творчестве	2	16
36	xix века	6	15
37	в этой	7	15
38	с его	5	15
39	но это	2	15
40	в мире	9	15
41	и с	4	15
42	это не	4	14
43	и даже	9	14
44	о том	3	13
45	а не	28	13
46	тем самым	8	12
47	в целом	10	12
48	все же	6	11
49	в своей	5	11
50	для него	6	11
51	отнюдь не	4	11
52	в конце	6	10
53	не в	11	10
54	так и	7	10
55	уже в	7	10
56	в русской	13	10
57	творческого процесса	2	10
58	но не	8	10
59	в самом	4	10
60	он сам	2	10
61	только в	8	10
62	как будто	2	10
63	в свою	2	9
64	в нем	4	9
65	один из	7	9
66	а затем	3	9
67	человека в	5	9
68	жизни в	5	9
69	в своих	5	9
70	в душе	3	9
71	даже в	6	8
72	в себе	8	8
73	человека и	2	8
74	в их	3	8
75	одной из	2	8
76	не менее	11	8
77	это уже	2	8
78	так как	2	8
79	тогда как	20	8
80	вовсе не	3	8
81	к этому	2	8
82	в соответствии	2	8
83	еще не	4	8
84	одним из	8	8
85	соответствии с	3	8
86	вместе с	5	8
87	казалось бы	6	7
88	за собой	2	7
89	самом деле	2	7
90	читателя в	2	7
91	своего рода	22	7
92	в чем	2	7
93	например в	3	7
94	и он	3	7
95	в этих	2	7
96	русской литературе	7	7
97	не случайно	5	7
98	уже не	9	7
99	и сам	6	7
100	его в	4	6
101	приводит к	4	6
102	ли не	7	6
103	героя в	2	6
104	так что	4	6
105	не столько	8	6
106	все эти	2	6
107	в принципе	7	6
108	одна из	8	6
109	хотя бы	3	6
110	конечном счете	8	6
111	xx века	2	6
112	и как	2	6
113	в конечном	9	6
114	с ним	2	6
115	а потому	4	6
116	бы не	3	5
117	ничего не	3	5
118	до конца	3	5
119	по отношению	6	5
120	и других	4	5
121	том же	3	5
122	как он	2	5
123	это как	3	5
124	т п	2	5
125	в своем	12	5
126	а с	2	5
127	в творческом	2	5
128	самим собой	2	5
129	быть может	2	5
130	что не	3	5
131	что и	3	5
132	мы не	5	5
133	более не	2	5
134	в россии	2	5
135	дело не	2	5
136	процесса в	2	5
137	та же	2	5
138	между тем	2	5
139	героя и	2	5
140	отношению к	4	5
141	в литературе	2	5
142	с другой	11	5
143	как правило	5	5
144	что я	4	5
145	из них	5	5
146	я не	8	5
147	не было	5	5
148	но с	3	5
149	крайней мере	2	4
150	он же	2	4
151	роль в	2	4
152	эта мысль	2	4
153	только на	3	4
154	в частности	18	4
155	как это	9	4
156	отличие от	6	4
157	не знает	3	4
158	того что	7	4
159	но только	3	4
160	он говорит	2	4
161	точки зрения	8	4
162	ту же	4	4
163	так в	6	4
164	могут быть	4	4
165	однако в	7	4
166	творческий процесс	2	4
167	же как	3	4
168	и я	7	4
169	который в	2	4
170	в основе	5	4
171	и мы	2	4
172	х годов	5	4
173	восходит к	2	4
174	нет ничего	2	4
175	по преимуществу	6	4
176	дело в	3	4
177	в каждом	2	4
178	себя в	7	4
179	на свете	2	4
180	чуть ли	2	4
181	и одновременно	2	4
182	наш взгляд	7	4
183	превращается в	2	4
184	тем что	6	4
185	него в	2	4
186	и наконец	2	4
187	и есть	3	4
188	но без	2	4
189	с этой	6	4
190	такой же	3	4
191	что его	3	4
192	ведет к	5	4
193	по крайней	2	4
194	в отличие	6	4
195	не мог	3	4
196	далеко не	4	4
197	утверждал что	2	4
198	с собой	4	4
199	представляет собой	5	4
200	еще в	7	4
201	личности в	4	4
202	на наш	7	4
203	к жизни	2	4
204	с точки	4	4
205	в финале	2	4
206	той же	5	4
207	в ходе	2	3
208	не есть	2	3
209	от него	2	3
210	вплоть до	4	3
211	к себе	3	3
212	в другом	3	3
