N	3gram	Trubetskoy	Psycholo
1	в том что	7	78
2	для того чтобы	6	70
3	на то что	4	55
4	о том что	2	34
5	с точки зрения	9	29
6	до сих пор	5	23
7	не может быть	4	23
8	к тому что	2	20
9	на самом деле	6	17
10	во всяком случае	6	14
11	можно было бы	3	13
12	в конце концов	3	12
13	тот факт что	2	11
14	только в том	2	10
15	вместе с тем	3	10
16	к тому чтобы	4	10
17	и то что	3	10
18	в том случае	4	9
19	что он не	2	9
20	в том и	2	9
21	в данном случае	3	9
22	точно так же	2	9
23	друг с другом	14	8
24	том случае если	3	7
25	более или менее	4	6
26	сама по себе	2	6
27	и в том	2	6
28	того или иного	2	6
29	в противоречие с	2	6
30	и вместе с	2	5
31	в лучшем случае	3	5
32	а между тем	5	4
33	в настоящее время	2	4
34	и не может	3	4
35	бы то ни	4	3
36	и не будет	2	3
37	с другом и	2	3
38	в этом случае	3	3
39	в то же	10	3
40	с тем чтобы	3	3
41	то же время	10	3
42	и в другом	2	3
43	друг от друга	2	3
44	ни одна из	2	3
45	той или иной	3	2
46	к вопросу о	3	2
47	она не может	2	2
48	а следовательно и	2	2
49	и если в	3	2
50	но она не	2	2
51	не может не	3	2
52	в значительной мере	2	2
53	и тем самым	2	2
54	чтобы понять что	2	2
