N	3gram	Nazirov_Tv	Problema
1	тем не менее	2	56
2	о том что	6	39
3	в том что	8	37
4	и т д	10	33
5	в связи с	2	29
6	в данном случае	2	28
7	по крайней мере	4	26
8	во всяком случае	2	25
9	с другой стороны	2	25
10	в таком случае	2	23
11	в то же	19	17
12	точно так же	3	16
13	на самом деле	2	13
14	сами по себе	2	13
15	не может быть	2	12
16	можно сказать что	2	12
17	дело в том	4	11
18	не только в	2	10
19	с самого начала	3	7
20	а может быть	2	7
21	то есть не	2	6
22	так и в	2	6
23	в самом деле	2	6
24	не значит что	2	4
25	это уже не	2	4
26	на первом плане	2	4
27	в русской литературе	2	3
28	но в то	5	3
29	но это не	2	3
30	и в то	3	3
31	как и в	2	3
32	это не значит	2	3
33	если не считать	2	3
34	в отличие от	2	3
35	том что в	3	3
36	в известном смысле	2	3
37	в известной мере	2	2
38	по отношению к	3	2
39	является одним из	3	2
40	ю м лотмана	3	2
41	и все же	3	2
42	в том же	3	2
43	и не может	2	2
44	в свою очередь	2	2
45	и т п	4	2
46	в братьях карамазовых	6	2
47	войне и мире	2	2
