N	2gram	Bakhtin_Fr	Otkroven
1	о человеке	2	29
2	у него	2	22
3	и в	105	19
4	но и	20	13
5	и не	34	13
6	в этом	22	12
7	не только	24	11
8	не в	4	11
9	может быть	11	11
10	и все	7	10
11	человека и	4	10
12	в нем	16	10
13	никогда не	11	9
14	в самой	5	9
15	потому что	6	9
16	не было	3	9
17	прежде всего	26	9
18	и он	3	8
19	он был	3	8
20	ни с	3	7
21	лишь в	4	7
22	в его	24	7
23	до конца	4	7
24	нет ничего	3	7
25	от него	2	7
26	он не	3	7
27	он всегда	2	7
28	но он	5	7
29	как и	15	6
30	все это	16	6
31	для него	12	5
32	а в	4	5
33	в том	17	5
34	в творчестве	2	5
35	в самом	7	5
36	то что	7	5
37	в этой	11	5
38	отношение к	9	5
39	и его	24	4
40	что в	4	4
41	того чтобы	3	4
42	все эти	15	4
43	на земле	3	4
44	человеческих отношений	2	4
45	не может	9	4
46	что не	3	4
47	с его	9	4
48	в себе	7	3
49	и от	3	3
50	о том	5	3
51	это не	4	3
52	к нему	5	3
53	не могут	4	3
54	что он	5	3
55	и вот	5	3
56	было бы	4	3
57	для того	2	3
58	еще не	8	3
59	все что	2	3
60	в этих	6	3
61	в своих	8	3
62	как бы	33	3
63	хотя бы	2	3
64	могут быть	4	3
65	это было	2	3
66	с ним	6	3
67	мысли и	4	3
68	того что	3	3
69	как к	3	2
70	одно из	7	2
71	сказать что	12	2
72	и на	25	2
73	уже в	5	2
74	и для	3	2
75	ничего не	3	2
76	и с	8	2
77	что и	2	2
78	ее в	2	2
79	и потому	14	2
80	и ни	4	2
81	в ее	5	2
82	в других	3	2
83	в своем	11	2
84	и этим	2	2
85	тем что	5	2
86	но в	16	2
87	том что	9	2
88	что для	3	2
89	все же	10	2
90	жизни в	8	2
91	в своей	8	2
92	он в	2	2
93	так как	11	2
94	должен был	2	2
95	что они	2	2
96	в истории	5	2
97	даже и	5	2
98	и о	4	2
99	к этому	2	2
100	был еще	3	2
101	и к	7	2
102	так и	16	2
103	и очень	2	2
104	к ней	2	2
105	хотя и	4	2
106	в единстве	2	2
107	учение о	2	2
108	в другом	2	2
109	подойти к	2	2
110	его в	7	2
