N	2gram	Tiupa_Anal	VelikijI
1	и не	14	20
2	и в	36	16
3	то что	5	9
4	еще не	7	8
5	и потому	3	7
6	что они	3	7
7	а не	16	7
8	не есть	6	6
9	человека и	2	6
10	в мире	17	5
11	как бы	14	5
12	на себя	5	5
13	но и	26	5
14	все это	5	5
15	по пути	4	5
16	ты не	2	5
17	хотя и	4	5
18	того что	4	5
19	и все	3	4
20	как и	27	4
21	все что	2	4
22	в нем	3	4
23	в ней	2	4
24	что не	3	4
25	что мы	2	4
26	и я	3	4
27	в его	12	4
28	говорить о	6	4
29	в этом	19	4
30	что он	5	4
31	так и	19	4
32	никогда не	7	3
33	превращается в	3	3
34	в жизни	2	3
35	что в	15	3
36	в том	16	3
37	и для	4	3
38	но в	8	3
39	к тому	10	3
40	но это	3	3
41	бы и	2	3
42	оно не	2	3
43	в своей	12	3
44	во всех	4	3
45	личности и	4	3
46	к чему	2	3
47	в конце	6	3
48	в них	4	3
49	жизни и	2	3
50	что и	10	3
51	не было	3	3
52	лишь в	9	3
53	и что	2	3
54	не в	9	3
55	все эти	2	3
56	что во	2	3
57	в этих	2	3
58	к счастью	2	3
59	в чем	2	3
60	тот же	3	3
61	с его	15	3
62	и то	2	2
63	с тем	2	2
64	да и	3	2
65	одна из	6	2
66	не так	2	2
67	но не	13	2
68	в прошлом	2	2
69	тот кто	2	2
70	это не	4	2
71	ее в	2	2
72	не только	40	2
73	не могут	2	2
74	а в	17	2
75	том что	19	2
76	во всяком	6	2
77	уже не	9	2
78	могут быть	4	2
79	от свободы	2	2
80	один из	6	2
81	им что	2	2
82	не будет	3	2
83	тем кто	2	2
84	более чем	2	2
85	тем что	3	2
86	мы не	4	2
87	можно было	2	2
88	только в	9	2
89	и сам	8	2
90	в форме	2	2
91	от своей	2	2
92	освобождения от	2	2
93	в себя	6	2
94	прежде всего	7	2
95	с ним	2	2
96	его не	3	2
97	между тем	8	2
98	а с	2	2
99	для него	8	2
100	не с	3	2
