N	2gram	Potebnia_M	NovoeSre
1	а не	38	17
2	и в	58	16
3	не может	30	16
4	и не	34	11
5	и есть	4	10
6	что в	34	9
7	жизни и	3	8
8	как не	4	8
9	в том	38	8
10	он не	4	8
11	не будет	2	7
12	может быть	47	7
13	как и	16	7
14	к новому	2	7
15	в этом	18	7
16	никогда не	7	6
17	лишь в	2	6
18	ни в	2	6
19	не в	23	6
20	но это	7	6
21	с его	3	6
22	не только	32	5
23	в жизни	5	5
24	должен быть	2	5
25	все это	3	5
26	в нем	26	5
27	с ее	2	5
28	в ней	9	5
29	не во	3	4
30	должно быть	9	4
31	в них	7	4
32	и для	8	4
33	не имеет	9	4
34	прежде всего	8	4
35	не менее	10	4
36	не было	7	4
37	и потому	7	4
38	перестает быть	3	4
39	то что	24	4
40	о том	6	4
41	это не	10	4
42	потому что	89	4
43	и все	6	4
44	быть может	6	4
45	в мире	3	3
46	тому как	8	3
47	но и	26	3
48	подобно тому	7	3
49	с другой	13	3
50	в ее	2	3
51	она не	3	3
52	духа и	8	3
53	к тому	5	3
54	к ее	2	3
55	что такое	3	3
56	в своей	3	3
57	еще не	9	3
58	к ним	3	3
59	в истории	8	3
60	человека и	2	3
61	перейти к	3	3
62	эти формы	2	3
63	должна быть	4	3
64	как в	18	3
65	не есть	13	3
66	за пределы	4	3
67	сказать что	5	3
68	во всех	12	3
69	вопрос о	5	3
70	это было	3	3
71	не существует	2	3
72	с тем	9	3
73	время как	2	2
74	зависит от	6	2
75	в себе	22	2
76	и должно	2	2
77	что она	3	2
78	как будто	2	2
79	все они	3	2
80	и с	3	2
81	одна из	4	2
82	для этого	2	2
83	но не	19	2
84	что все	4	2
85	думать что	6	2
86	и от	5	2
87	не могли	2	2
88	того чтобы	4	2
89	и это	3	2
90	хотя бы	4	2
91	когда мы	4	2
92	и весь	3	2
93	свободы и	3	2
94	а в	11	2
95	но в	12	2
96	том что	21	2
97	в обществе	3	2
98	мысли в	11	2
99	и на	8	2
100	с этим	11	2
101	в природе	11	2
102	есть в	4	2
103	и что	13	2
104	все эти	3	2
105	мы не	17	2
106	жизни все	2	2
107	в смысле	4	2
108	не имеют	7	2
109	стремление к	3	2
110	ни одна	2	2
111	у него	3	2
112	времени и	3	2
113	уже не	4	2
114	этот мир	2	2
115	другой стороны	7	2
116	к духу	4	2
117	самый процесс	2	2
118	так же	7	2
119	так и	17	2
120	помнить что	6	2
121	могут быть	17	2
122	из глубины	2	2
123	одной стороны	6	2
124	такой же	4	2
125	но она	3	2
126	в то	6	2
127	не могла	2	2
128	познания и	2	2
129	хотя и	6	2
130	мысли и	9	2
131	мы говорим	3	2
132	этом смысле	4	2
133	с одной	7	2
134	духовной жизни	2	2
135	том и	2	2
136	место в	3	2
137	и даже	4	2
138	вместе с	12	2
