N	2gram	Bakhtin_Fr	Marksizm
1	точки зрения	8	69
2	может быть	10	64
3	и в	68	63
4	и не	25	55
5	как бы	7	53
6	не может	5	47
7	с точки	4	46
8	и его	26	41
9	в этом	28	39
10	таким образом	22	38
11	как мы	18	32
12	лишь в	3	30
13	не только	21	29
14	в нем	12	28
15	то же	14	28
16	но и	17	27
17	в языке	2	26
18	самом деле	5	25
19	речи и	2	25
20	связи с	8	25
21	прежде всего	23	24
22	как и	17	24
23	в самом	6	24
24	так и	8	23
25	и т.п	17	23
26	только в	9	23
27	в том	12	22
28	то что	11	22
29	а не	6	22
30	при этом	5	20
31	так сказать	7	20
32	для него	7	20
33	том что	6	19
34	не в	2	19
35	в его	21	19
36	если бы	3	19
37	но в	20	18
38	в ее	5	18
39	и для	6	18
40	в слове	2	18
41	вовсе не	18	18
42	все же	6	17
43	в сущности	15	17
44	в то	14	16
45	по отношению	3	16
46	и как	5	16
47	слова и	3	16
48	что он	7	15
49	в связи	7	15
50	во всех	8	15
51	отношению к	2	15
52	же время	13	15
53	с помощью	5	15
54	в данном	5	14
55	хотя бы	2	14
56	ничего не	4	13
57	так же	3	13
58	мы не	3	13
59	того чтобы	6	13
60	было бы	4	13
61	в своей	11	13
62	и здесь	5	13
63	слова в	3	13
64	что в	14	13
65	выражение в	2	12
66	а в	3	12
67	того же	4	12
68	в основе	7	12
69	для того	5	12
70	он не	11	12
71	между тем	3	12
72	на самом	7	11
73	друг друга	2	11
74	как в	4	11
75	и все	16	11
76	к нему	4	11
77	и на	16	11
78	в ней	6	11
79	сих пор	6	11
80	все эти	16	11
81	и от	4	11
82	так как	7	11
83	еще не	3	11
84	и что	2	11
85	мы уже	19	11
86	до сих	6	11
87	никогда не	2	10
88	его в	7	10
89	и потому	6	10
90	в основном	7	10
91	отличие от	3	10
92	здесь мы	3	10
93	здесь в	6	10
94	во всяком	2	10
95	с его	6	10
96	сказать что	3	10
97	одна из	3	10
98	к этому	6	10
99	в своем	11	10
100	в отличие	3	10
101	с другой	8	10
102	именно в	5	10
103	конечно не	4	10
104	в таком	2	10
105	в большинстве	3	10
106	и следовательно	3	9
107	в себе	5	9
108	это не	5	9
109	только на	4	9
110	мы видели	6	9
111	одной из	3	9
112	и это	5	9
113	большинстве случаев	3	9
114	в истории	5	9
115	в нашем	5	9
116	рядом с	5	9
117	что это	4	9
118	и более	2	9
119	ни в	6	9
120	быть и	2	9
121	в отношении	3	8
122	перед нами	4	8
123	или иной	2	8
124	и ее	3	8
125	в форме	3	8
126	или же	2	8
127	в их	6	8
128	смысле этого	2	8
129	мы знаем	3	8
130	с этим	2	8
131	настоящее время	2	8
132	что и	3	8
133	в настоящее	2	8
134	этого слова	3	8
135	другой стороны	5	8
136	мысли и	2	8
137	и даже	7	8
138	кроме того	5	8
139	и их	5	8
140	у нас	4	8
141	в свою	3	8
142	и с	15	8
143	не было	7	8
144	у него	14	8
145	до конца	10	7
146	свою очередь	2	7
