N	2gram	Bakhtin_Fr	UchenyiS
1	и в	73	14
2	не только	11	10
3	а не	2	10
4	и не	13	8
5	прежде всего	18	8
6	то что	12	7
7	не может	4	7
8	в этом	21	7
9	может быть	5	6
10	то же	16	5
11	все это	19	5
12	но и	15	4
13	в этой	18	4
14	с другой	3	4
15	в их	5	4
16	конечно не	2	4
17	у нас	4	3
18	в частности	2	3
19	для этого	2	3
20	и т.д	3	3
21	это не	7	3
22	и то	3	3
23	в своей	4	3
24	все же	2	3
25	не как	2	3
26	как и	19	3
27	в то	14	3
28	но в	12	3
29	же время	12	3
30	ни было	2	3
31	было бы	5	3
32	в области	3	3
33	другой стороны	2	3
34	для него	7	3
35	в самом	9	2
36	в себе	16	2
37	что мы	2	2
38	и у	7	2
39	о чем	2	2
40	нас в	3	2
41	форму и	2	2
42	что он	8	2
43	таким образом	34	2
44	и для	8	2
45	их и	2	2
46	между тем	2	2
47	самом деле	4	2
48	только в	7	2
49	одним из	3	2
50	не есть	2	2
51	ничего не	4	2
52	всех этих	2	2
53	и с	17	2
54	но конечно	2	2
55	что и	6	2
56	на первый	2	2
57	меньшей степени	2	2
58	и через	2	2
59	не могут	3	2
60	это было	4	2
61	превращается в	2	2
62	сих пор	3	2
63	по себе	2	2
64	тем что	8	2
65	том что	8	2
66	в его	18	2
67	это уже	3	2
68	все они	7	2
69	в том	13	2
70	что все	3	2
71	этом отношении	3	2
72	с его	5	2
73	как раз	3	2
74	должна быть	3	2
75	фактов и	2	2
76	конце концов	5	2
77	но это	3	2
78	для всех	3	2
79	по существу	8	2
80	не в	12	2
81	в конце	9	2
82	в системе	2	2
83	мы не	2	2
84	до сих	3	2
