N	2gram	Potebnia_M	Narrotol
1	не только	32	62
2	и не	34	50
3	при этом	17	47
4	но и	26	45
5	а не	38	38
6	может быть	47	30
7	и в	58	30
8	в том	38	29
9	том что	21	28
10	тогда как	10	28
11	в этом	18	28
12	а в	11	27
13	только в	36	25
14	как и	16	24
15	не в	23	23
16	то что	24	23
17	то есть	69	22
18	не может	30	20
19	в себе	22	17
20	так и	17	17
21	со стороны	11	16
22	в его	7	16
23	но в	12	15
24	к тому	5	15
25	в жизни	5	14
26	и его	7	14
27	в своем	3	13
28	в своей	3	13
29	то же	13	13
30	времени и	3	13
31	у него	3	13
32	о том	6	13
33	уже не	4	13
34	все же	11	12
35	прежде всего	8	12
36	как в	18	12
37	как бы	12	12
38	тем самым	6	11
39	по отношению	15	11
40	и тем	5	11
41	в нем	26	11
42	в этой	3	11
43	если бы	23	11
44	отношению к	13	11
45	в мире	3	11
46	хотя и	6	11
47	никогда не	7	10
48	в то	6	10
49	ничего не	2	10
50	один из	2	10
51	точки зрения	8	10
52	того что	15	10
53	и все	6	10
54	но не	19	10
55	жизни и	3	10
56	между тем	7	10
57	с его	3	10
58	еще не	9	9
59	что он	5	9
60	что в	34	9
61	тем не	11	9
62	для него	13	9
63	далеко не	4	9
64	столь же	6	9
65	потому что	89	9
66	с ним	7	9
67	самом деле	2	8
68	но при	3	8
69	не менее	10	8
70	того чтобы	4	8
71	одна из	4	8
72	у нас	3	8
73	и для	8	8
74	в самом	5	8
75	внимание на	3	8
76	же время	4	8
77	в таком	7	8
78	он не	4	8
79	не мог	3	8
80	в свою	8	7
81	это не	10	7
82	вслед за	2	7
83	в чем	6	7
84	в ней	9	7
85	одного из	3	7
86	в целом	3	7
87	в ее	2	7
88	имеет место	4	7
89	же в	7	7
90	в глазах	4	7
91	с другой	13	7
92	в котором	5	7
93	и на	8	7
94	или в	4	7
95	одной стороны	6	6
96	в сознании	8	6
97	они не	5	6
98	могло бы	4	6
99	во втором	6	6
100	ответ на	2	6
101	не могла	2	6
102	однако в	4	6
103	в известном	2	6
104	на другой	2	6
105	что и	16	6
106	например в	4	6
107	сказать что	5	6
108	никак не	3	6
109	то в	6	6
110	то и	15	6
111	из этих	8	6
112	здесь не	2	6
113	на него	6	6
114	не по	4	6
115	с одной	7	6
116	что у	2	6
117	в нашем	2	6
118	на то	5	6
119	слова в	7	6
120	все что	5	6
121	таким образом	21	6
122	в слове	21	6
123	на самом	2	5
124	том как	6	5
125	для нее	4	5
126	в другом	3	5
127	и у	3	5
128	не всегда	2	5
129	дело с	2	5
130	и о	3	5
131	о котором	4	5
132	к нему	2	5
133	может служить	2	5
134	место в	3	5
135	не столько	3	5
136	было бы	21	5
137	мы не	17	5
138	свою очередь	8	5
139	и то	4	5
140	по поводу	7	5
141	и от	5	5
142	что это	5	5
143	или не	3	5
144	с ними	2	5
145	так сказать	5	5
146	в начале	2	5
147	тем более	2	5
148	с ее	2	5
149	и даже	4	5
150	стало быть	6	5
151	только что	4	5
152	подобно тому	7	5
153	для того	8	5
154	в какой	2	5
155	их в	2	5
156	именно в	2	5
157	в своих	4	5
158	если не	5	5
159	из них	2	5
160	тому как	8	5
161	в одном	13	5
162	не было	7	5
163	и того	6	5
164	и уже	6	5
165	как будто	2	5
166	начиная с	2	4
167	а на	2	4
168	в виду	2	4
169	как он	5	4
170	только на	4	4
171	друг друга	6	4
172	в душе	28	4
173	в них	7	4
174	тому что	4	4
175	она не	3	4
176	на том	2	4
177	все его	2	4
178	так в	4	4
179	что на	9	4
180	не будет	2	4
181	что касается	2	4
182	не все	3	4
183	представить себе	3	4
184	когда в	3	4
185	и по	8	4
186	не на	3	4
187	что они	6	4
188	в первом	5	4
189	как мы	3	4
190	хотя бы	4	4
191	могла бы	5	4
192	к этому	3	4
193	это было	3	4
194	к ней	3	4
195	и как	11	4
196	не имеет	9	4
197	человека в	3	4
198	не могло	3	4
199	не с	2	4
200	для себя	4	4
201	зависит от	6	4
202	что я	2	4
203	и притом	6	4
204	оно не	4	4
205	и с	3	4
206	не существует	2	4
207	для нас	29	4
208	по себе	24	4
209	мог бы	5	4
210	несмотря на	5	4
211	всяком случае	7	4
212	по своей	2	4
213	во всяком	9	4
214	или даже	3	4
215	в себя	2	4
216	о которой	2	4
217	вместе с	12	4
218	и потому	7	3
219	так же	7	3
220	сознания в	2	3
221	но как	4	3
222	и другая	2	3
223	с таким	3	3
224	должен быть	2	3
225	с этой	3	3
226	для других	2	3
227	а как	3	3
228	к ее	2	3
229	этого не	2	3
230	на друга	2	3
231	а его	3	3
232	его не	3	3
233	так а	2	3
234	одно из	5	3
235	к ним	3	3
236	и это	3	3
237	ли в	2	3
238	между ними	2	3
239	видит в	2	3
240	же не	2	3
241	точно так	18	3
242	что не	15	3
243	все эти	3	3
244	той же	3	3
245	и самого	2	3
246	связи с	6	3
247	и тогда	2	3
248	в связи	2	3
249	во время	5	3
250	заключает в	6	3
251	и т	10	3
252	для обозначения	2	3
253	о его	2	3
254	существования в	2	3
255	но это	7	3
256	например мы	2	3
257	дело в	3	3
258	бы быть	7	3
259	что она	3	3
260	в которой	5	3
261	от которого	2	3
262	по мере	10	3
263	лишь в	2	3
264	бы не	11	3
265	от их	4	3
266	в этих	10	3
267	сих пор	5	3
268	друг на	2	3
269	в памяти	3	3
270	ни для	2	3
271	которое по	2	3
272	на этот	2	3
273	ключ к	2	3
274	быть не	7	3
275	могли бы	4	3
276	что мы	11	3
277	собственно говоря	2	3
278	только не	2	3
279	как она	3	3
280	с точки	4	3
281	и что	13	3
282	по его	7	3
283	и только	6	3
284	как на	5	3
285	не следует	6	3
286	что именно	2	3
287	жизни но	2	3
288	тем же	4	3
289	но он	3	3
290	до сих	5	3
291	бы с	2	2
292	в нее	4	2
293	в каком	7	2
294	к одному	3	2
295	очевидно что	5	2
296	при виде	3	2
297	в действительности	6	2
298	которое может	2	2
299	слова а	3	2
300	в которых	2	2
301	она может	3	2
302	когда же	2	2
303	в человеке	14	2
304	только от	2	2
305	как именно	3	2
306	именно так	2	2
307	или менее	6	2
308	говоря о	3	2
309	давно уже	2	2
310	лица и	2	2
311	что с	3	2
312	оно и	4	2
313	столько же	4	2
314	в их	3	2
315	от своего	2	2
316	говорящего и	2	2
317	после этого	2	2
318	так что	23	2
319	в формах	3	2
320	т п	6	2
321	на две	2	2
322	утверждает что	3	2
323	на основании	3	2
324	только потому	4	2
325	указывает на	2	2
326	для одного	3	2
327	более или	6	2
328	в более	4	2
329	те же	4	2
330	теперь уже	2	2
331	могут быть	17	2
332	быть может	6	2
333	язык как	7	2
334	чего не	3	2
335	искать в	3	2
336	с нею	6	2
337	что же	3	2
338	с языком	2	2
339	в единство	2	2
340	для них	2	2
341	не имел	2	2
342	и во	6	2
343	мертвых душ	5	2
344	в сущности	2	2
345	нами не	2	2
346	никто не	3	2
347	как для	2	2
348	вовсе не	13	2
349	если в	3	2
350	и вообще	5	2
351	все то	2	2
352	только по	5	2
353	но все	4	2
354	другой стороны	7	2
355	сознания и	2	2
356	бытия и	3	2
357	хотя в	3	2
358	нас в	2	2
359	должно быть	9	2
360	по мнению	4	2
361	на это	2	2
362	бы в	6	2
363	мы можем	10	2
364	переход от	2	2
365	которые могут	5	2
366	мысль о	8	2
367	субъекта и	4	2
368	в некотором	2	2
369	и действия	2	2
370	слова и	7	2
371	превращается в	2	2
372	все это	3	2
373	тем что	15	2
374	не есть	13	2
375	одного и	6	2
376	судя по	5	2
377	что одно	2	2
378	и есть	4	2
379	одним из	2	2
380	пространство и	2	2
381	себе не	3	2
382	что иное	2	2
383	с нами	2	2
384	в течение	2	2
385	себе и	2	2
386	быть только	7	2
387	во всех	12	2
388	должна быть	4	2
389	и более	3	2
390	на нее	2	2
391	сами по	8	2
392	есть в	4	2
393	ни с	2	2
394	иначе как	2	2
395	но уже	2	2
396	с другим	3	2
397	он может	2	2
398	а между	5	2
399	с такою	2	2
400	того же	13	2
401	того кто	2	2
402	к которому	5	2
403	видно что	2	2
404	том смысле	7	2
405	таком случае	4	2
406	иное как	2	2
407	не для	2	2
408	к их	2	2
409	еще более	2	2
410	в других	6	2
411	к другому	2	2
412	из него	3	2
413	таким же	3	2
414	если же	5	2
415	но с	3	2
416	мы будем	3	2
417	и сами	3	2
418	не можем	5	2
419	а потому	14	2
