N	2gram	Savitsky_P	EvropaiC
1	в том	9	31
2	и в	14	24
3	том что	4	20
4	не может	4	18
5	то что	4	18
6	может быть	5	17
7	точки зрения	3	14
8	в этом	10	13
9	все это	2	13
10	в своем	4	12
11	с этим	2	12
12	между тем	3	12
13	но и	6	11
14	не только	17	10
15	во всех	2	10
16	культуры в	2	10
17	как бы	4	10
18	и не	12	9
19	не в	5	9
20	что в	4	9
21	потому что	3	9
22	если бы	4	8
23	для того	3	8
24	европейской культуры	4	8
25	с точки	3	8
26	в силу	2	7
27	того что	2	7
28	не менее	2	7
29	в мире	2	6
30	в европе	2	6
31	только в	7	6
32	в то	7	6
33	с другой	5	6
34	в общем	2	6
35	и если	4	6
36	как на	2	6
37	по сравнению	2	5
38	в себе	3	5
39	должно быть	2	5
40	тех кто	4	5
41	из них	2	5
42	но в	9	5
43	столь же	3	5
44	именно в	2	5
45	и без	3	5
46	и с	2	5
47	и к	4	5
48	в его	2	5
49	другие народы	2	4
50	мы должны	4	4
51	хотя бы	8	4
52	то же	9	4
53	в области	11	4
54	в виде	2	4
55	с тем	3	4
56	что мы	3	4
57	хотя и	3	4
58	тем самым	3	3
59	это не	3	3
60	и потому	4	3
61	в начале	2	3
62	тем более	2	3
63	и других	2	3
64	прежде всего	3	3
65	с одной	3	3
66	в жизни	2	3
67	но не	3	3
68	и это	2	3
69	а в	4	3
70	в нем	3	3
71	в ней	6	3
72	для нас	2	3
73	было бы	6	3
74	в с	4	3
75	заключается в	3	3
76	тот же	3	3
77	одна из	2	2
78	современной европейской	2	2
79	помнить что	2	2
80	не было	2	2
81	в частности	2	2
82	есть в	2	2
83	в эту	2	2
84	в котором	4	2
85	в которых	5	2
86	одной стороны	3	2
87	между прочим	2	2
88	отнюдь не	2	2
89	в них	2	2
90	сводится к	3	2
91	с ними	3	2
92	говорить о	2	2
93	в гораздо	4	2
94	же время	7	2
95	во всей	2	2
96	заключает в	2	2
97	в а	2	2
