N	3gram	Tiupa_Hudo	Istorich
1	с другой стороны	6	46
2	с одной стороны	3	28
3	в том что	8	25
4	не может быть	4	24
5	тем не менее	3	23
6	мы имеем в	3	19
7	в связи с	3	17
8	по отношению к	10	14
9	более или менее	6	9
10	подобно тому как	3	8
11	этой точки зрения	2	6
12	с этой точки	2	6
13	для того чтобы	5	5
14	в том числе	3	5
15	в отличие от	7	5
16	состоит в том	5	4
17	можно сказать что	3	4
18	с точки зрения	3	4
19	так или иначе	4	4
20	и то же	3	3
21	бы то ни	2	3
22	это своего рода	2	3
23	то ни было	2	3
24	но он не	2	3
25	не могло быть	2	3
26	к тому что	2	3
27	в самом деле	2	2
28	может быть и	2	2
29	сама по себе	2	2
30	может быть названо	2	2
31	и не могло	2	2
32	и прежде всего	2	2
33	том что он	2	2
34	одно и то	3	2
35	в таком случае	2	2
36	том числе и	2	2
37	в свою очередь	2	2
38	мы имеем дело	2	2
