N	2gram	Voloshinov	EvropaiC
1	таким образом	8	34
2	в том	3	31
3	и в	42	24
4	том что	3	20
5	все эти	3	19
6	не может	13	18
7	то что	9	18
8	может быть	13	17
9	все же	9	15
10	сих пор	2	15
11	точки зрения	11	14
12	в этом	10	13
13	все это	4	13
14	с этим	2	12
15	самом деле	5	12
16	между тем	3	12
17	по отношению	2	11
18	но и	16	11
19	отношению к	2	11
20	не только	28	10
21	так и	7	10
22	во всех	6	10
23	как и	12	10
24	как бы	30	10
25	и не	14	9
26	не в	6	9
27	и все	4	9
28	потому что	7	9
29	при этом	9	9
30	так же	4	8
31	из этих	2	8
32	если бы	4	8
33	для того	9	8
34	к тому	4	8
35	в самом	5	8
36	того чтобы	7	8
37	с точки	5	8
38	мы говорили	2	8
39	ясно что	2	8
40	на самом	3	7
41	для этого	2	7
42	в сознании	5	7
43	так как	8	7
44	по своей	2	7
45	что он	2	7
46	того что	4	7
47	о том	4	7
48	что и	3	7
49	в этой	6	7
50	вместе с	5	7
51	в мире	2	6
52	только в	7	6
53	у них	3	6
54	еще не	3	6
55	и при	2	6
56	в то	9	6
57	и для	3	6
58	и на	7	6
59	мы можем	7	6
60	несмотря на	3	6
61	тому же	2	6
62	с ним	2	6
63	и от	7	5
64	его в	4	5
65	но все	5	5
66	в себе	10	5
67	должно быть	2	5
68	к этому	2	5
69	в которой	7	5
70	лишь в	4	5
71	и их	5	5
72	ничем не	2	5
73	из них	3	5
74	что это	4	5
75	по своему	3	5
76	но в	5	5
77	и без	4	5
78	и с	5	5
79	и к	4	5
80	в целом	4	5
81	не будет	3	5
82	между двумя	2	5
83	в его	6	5
84	никогда не	7	4
85	и то	5	4
86	мы должны	10	4
87	хотя бы	18	4
88	в конце	6	4
89	отношение к	2	4
90	целый ряд	3	4
91	социальной жизни	3	4
92	и т.д	21	4
93	конце концов	3	4
94	та же	3	4
95	то же	16	4
96	в их	2	4
97	том же	2	4
98	в области	6	4
99	а с	5	4
100	совершенно не	3	4
101	между собой	2	4
102	с тем	8	4
103	не так	3	4
104	этом случае	3	4
105	ни один	2	4
106	не есть	2	4
107	из которых	3	4
108	что мы	11	4
109	связи с	3	4
110	он не	2	4
111	если мы	4	4
112	в дальнейшем	2	4
113	хотя и	3	4
114	мы уже	11	4
115	и вообще	2	3
116	вопрос о	2	3
117	тем самым	8	3
118	это не	3	3
119	и потому	2	3
120	в начале	3	3
121	в тех	3	3
122	каждый из	2	3
123	бы в	6	3
124	но даже	2	3
125	от того	3	3
126	очевидно что	2	3
127	в этих	2	3
128	конечно не	3	3
129	в связи	2	3
130	и наконец	5	3
131	за ними	2	3
132	у нас	4	3
133	вследствие этого	3	3
134	прежде всего	22	3
135	в разных	3	3
136	в жизни	2	3
137	но не	2	3
138	и это	8	3
139	а в	5	3
140	в нем	6	3
141	в ней	8	3
142	что оно	3	3
143	для нас	3	3
144	было бы	7	3
145	таким же	2	3
146	случаях когда	2	3
147	в нашем	5	3
148	тот же	2	3
149	как мы	10	3
150	мы будем	6	3
151	все то	2	2
152	другими словами	7	2
153	помнить что	2	2
154	независимо от	5	2
155	в процессе	6	2
156	но как	2	2
157	а к	3	2
158	этот процесс	2	2
159	на одном	2	2
160	и поэтому	3	2
161	то есть	5	2
162	свою очередь	4	2
163	на него	4	2
164	друг друга	2	2
165	должен быть	2	2
166	зависимости от	7	2
167	как не	2	2
168	не будут	2	2
169	на первый	2	2
170	в виду	3	2
171	не было	2	2
172	он должен	3	2
173	из двух	2	2
174	в частности	3	2
175	следует искать	2	2
176	точку зрения	6	2
177	одной и	4	2
178	не знает	3	2
179	к той	3	2
180	для него	3	2
181	только тогда	2	2
182	мы видели	5	2
183	и так	6	2
184	также и	2	2
185	что у	3	2
186	тому что	5	2
187	к нему	2	2
188	гораздо более	2	2
189	в котором	3	2
190	их в	3	2
191	те же	5	2
192	ту же	2	2
193	в своих	2	2
194	в свою	6	2
195	будет иметь	2	2
196	этот вопрос	2	2
197	и тому	3	2
198	о них	2	2
199	в которых	2	2
200	но для	3	2
201	и те	2	2
202	между ними	3	2
203	отнюдь не	10	2
204	если он	3	2
205	представить себе	3	2
206	что же	8	2
207	общества и	3	2
208	жизни и	3	2
209	и уже	3	2
210	ответить на	2	2
211	и его	7	2
212	же время	7	2
213	и сам	2	2
214	которой мы	4	2
215	заключает в	4	2
216	что эти	3	2
217	этого слова	3	2
218	той же	7	2
219	для всякого	2	2
220	которые носят	2	2
221	вовсе не	2	2
222	в основе	3	2
223	тем же	4	2
224	при условии	2	2
