N	2gram	Berdyaev_O	Komedia
1	и в	19	77
2	и не	13	47
3	в том	5	44
4	том что	2	42
5	т е	4	33
6	о том	3	33
7	но и	13	32
8	может быть	11	30
9	и его	4	28
10	в этом	12	27
11	потому что	9	27
12	что он	3	26
13	не только	11	25
14	так как	2	24
15	как и	6	23
16	что в	4	23
17	что и	2	22
18	в самом	5	22
19	так и	2	21
20	а в	5	21
21	в его	7	20
22	к этому	2	19
23	в этой	5	18
24	тем что	2	17
25	еще не	3	17
26	в нем	10	17
27	все же	2	16
28	у него	22	16
29	он не	7	16
30	его в	2	15
31	в своем	2	15
32	не в	11	15
33	прежде всего	9	15
34	было бы	3	15
35	в которой	2	15
36	и на	2	15
37	к нему	3	14
38	все это	6	14
39	и с	2	14
40	то что	5	13
41	так что	2	13
42	но в	2	13
43	того чтобы	4	13
44	для того	3	12
45	уже в	2	12
46	в истории	2	12
47	хотя и	2	12
48	не может	4	12
49	с тем	2	11
50	к ней	2	11
51	и для	2	11
52	с ним	3	11
53	отношение к	5	10
54	ничего не	2	10
55	и все	10	10
56	он был	8	10
57	с его	4	10
58	сразу же	2	10
59	как бы	3	10
60	о его	5	9
61	в своей	2	9
62	все что	3	9
63	и ее	3	8
64	что у	2	8
65	что для	2	8
66	не было	9	8
67	вопрос о	10	7
68	до конца	7	7
69	в себе	3	7
70	в другом	2	7
71	и к	2	7
72	и о	2	7
73	в других	2	7
74	что они	2	7
75	хотя бы	3	7
76	и вот	3	7
77	должен был	2	7
78	в этих	3	7
79	не имеет	2	7
80	всего в	2	6
81	могут быть	3	6
82	что не	4	6
83	никто не	3	6
84	и он	8	6
85	это было	3	6
86	человека в	11	6
87	в своих	3	6
88	когда он	3	6
89	которую он	2	6
90	а не	11	6
91	никогда не	9	5
92	это не	3	5
93	в ее	2	5
94	сказать что	2	5
95	и от	3	5
96	любовь к	2	5
97	но он	7	5
98	чем в	2	5
99	к человеку	9	4
100	и этим	2	4
101	и там	2	4
102	его не	2	4
103	что же	2	4
104	одно из	2	4
105	нет ничего	7	4
106	него в	5	4
107	и потому	2	3
108	не могут	3	3
109	от него	7	3
110	как к	2	3
111	же можно	2	3
112	самого конца	2	3
113	к этой	2	3
114	он в	2	3
115	человеку и	5	3
116	все еще	2	3
117	о любви	2	3
118	и мысли	4	3
119	чем на	3	3
120	и из	2	3
121	в самой	9	3
122	ни у	2	3
123	по себе	2	3
124	и есть	3	3
125	о которой	2	3
126	до самого	5	3
127	с которой	2	2
128	для человека	2	2
129	человека и	10	2
130	и любовь	2	2
131	из всего	2	2
132	не могли	2	2
133	и очень	2	2
134	того что	3	2
135	в душе	2	2
136	что все	2	2
137	в уста	2	2
138	совсем не	2	2
139	у кого	2	2
140	все эти	4	2
141	человека а	2	2
142	не все	2	2
143	в этот	2	2
144	на земле	4	2
145	жизни в	2	2
146	для него	5	2
147	него не	2	2
148	ее в	2	2
149	ко всем	2	2
