N	3gram	Losev_Prob	Literetu
1	в то же	10	21
2	в том что	17	21
3	с одной стороны	2	12
4	в данном случае	12	11
5	в отличие от	2	11
6	не может быть	5	11
7	о том что	8	10
8	так или иначе	2	10
9	с точки зрения	9	8
10	с другой стороны	11	7
11	подобно тому как	2	6
12	не только в	2	6
13	тем не менее	23	5
14	этой точки зрения	2	5
15	в связи с	9	5
16	и прежде всего	3	4
17	бы то ни	5	4
18	то ни было	4	4
19	и тем самым	3	4
20	и то что	8	4
21	во всяком случае	8	3
22	то же самое	17	3
23	той или иной	16	3
24	на самом деле	5	3
25	по крайней мере	9	3
26	только в том	2	3
27	на то что	2	3
28	но с другой	2	3
29	ничего общего с	2	3
30	ту или иную	3	3
31	и в частности	4	3
32	одно и то	4	2
33	что же касается	5	2
34	для того чтобы	4	2
35	же самое можно	2	2
36	и то же	5	2
37	это уже не	2	2
38	мы имеем дело	2	2
39	только то что	4	2
40	имеется в виду	6	2
41	сказать и о	2	2
42	на первый взгляд	3	2
43	не только не	5	2
44	в этом случае	8	2
45	но и в	2	2
46	в чистом виде	3	2
47	можно было бы	6	2
48	дело в том	4	2
49	то есть от	2	2
50	в себе и	2	2
51	тех или иных	7	2
52	в сравнении с	4	2
