N	3gram	Bakhtin_Fr	KulturaY
1	с точки зрения	4	36
2	в том что	4	33
3	в самом деле	3	29
4	можно было бы	2	25
5	с другой стороны	2	17
6	до сих пор	3	14
7	по отношению к	3	13
8	в связи с	2	12
9	в этом отношении	3	11
10	о том что	4	10
11	после того как	6	7
12	с одной стороны	3	7
13	в свою очередь	3	7
14	в то же	12	6
15	то же время	12	6
16	в свое время	2	6
17	более или менее	3	5
18	так и в	3	5
19	как мы видели	4	5
20	сам по себе	2	4
21	сих пор еще	3	4
22	в большей или	2	3
23	о том как	3	3
24	в конце концов	5	3
25	вместо того чтобы	2	3
26	в той же	5	3
27	большей или меньшей	2	3
28	и прежде всего	2	2
29	мы имеем в	2	2
30	прежде всего в	4	2
31	не должно быть	2	2
32	слов и выражений	3	2
33	а следовательно и	2	2
34	том или ином	2	2
35	в большинстве случаев	9	2
36	таким образом в	2	2
37	в другом месте	3	2
38	в том числе	4	2
39	в одном из	2	2
40	что все это	2	2
