N	2gram	Nazirov_Tv	SlovoVZh
1	не может	9	16
2	может быть	11	14
3	и его	14	13
4	как бы	26	13
5	и в	40	12
6	таким образом	14	12
7	отношению к	3	11
8	по отношению	3	11
9	и не	12	10
10	так как	6	9
11	если бы	4	9
12	прежде всего	10	8
13	сказать что	3	7
14	все время	3	6
15	при этом	14	6
16	в том	13	6
17	в нем	4	6
18	только в	7	6
19	в процессе	3	6
20	в ней	2	6
21	никогда не	13	5
22	как в	10	5
23	в жизни	3	5
24	в виду	3	5
25	можно сказать	2	5
26	но в	11	5
27	том что	14	5
28	то же	19	5
29	как и	16	5
30	героя и	4	5
31	хотя бы	5	5
32	а не	9	5
33	то что	9	5
34	и др	2	5
35	отнюдь не	9	5
36	в самом	6	4
37	в этом	11	4
38	не только	16	4
39	в литературе	4	4
40	на самом	3	4
41	что не	5	4
42	его в	2	4
43	жизни и	3	4
44	не в	3	4
45	с другой	4	4
46	все же	9	4
47	дело в	4	4
48	так и	5	4
49	и на	12	4
50	уже не	6	4
51	как к	2	3
52	по себе	2	3
53	о том	9	3
54	ее и	2	3
55	имеет в	2	3
56	не к	2	3
57	ни в	2	3
58	все эти	3	3
59	в котором	8	3
60	и наконец	3	3
61	так же	6	3
62	в своей	8	3
63	мы не	3	3
64	точка зрения	2	3
65	в себе	3	3
66	нуждается в	2	3
67	еще не	5	3
68	это как	4	3
69	все это	14	3
70	только на	2	3
71	когда он	4	3
72	между тем	2	3
73	и с	9	3
74	в творчестве	10	3
75	не менее	8	3
76	с ним	4	3
77	отношении к	2	3
78	и по	5	3
79	в такой	2	3
80	самом деле	4	3
81	того что	3	3
82	тем не	2	3
83	и более	2	3
84	но и	10	3
85	для него	9	3
86	едва ли	2	2
87	в его	19	2
88	данном случае	2	2
89	до конца	2	2
90	и здесь	2	2
91	что в	17	2
92	не так	5	2
93	в душе	4	2
94	не есть	2	2
95	и притом	2	2
96	как уже	2	2
97	место в	6	2
98	ничего не	3	2
99	с его	12	2
100	что и	3	2
101	это не	9	2
102	более того	2	2
103	и все	6	2
104	от всех	2	2
105	она не	2	2
106	тому же	2	2
107	в своем	4	2
108	опираясь на	3	2
109	в данном	2	2
110	его к	2	2
111	действия и	3	2
112	зависит от	4	2
113	и что	2	2
114	в то	23	2
115	уже в	5	2
116	по природе	6	2
117	с этой	4	2
118	в этих	2	2
119	влияние на	3	2
120	связь с	3	2
121	в основном	9	2
122	и другие	4	2
123	но это	10	2
124	он не	10	2
125	героев и	4	2
126	такой же	4	2
127	в момент	5	2
128	и потому	4	2
129	его как	2	2
130	но не	7	2
131	как это	2	2
132	в себя	3	2
133	была бы	2	2
134	ни на	3	2
135	могут быть	4	2
136	сливается с	4	2
137	в чем	4	2
138	между собой	2	2
139	несравненно более	4	2
140	настоящее время	2	2
141	с одной	2	2
142	к этому	4	2
143	и та	2	2
144	но этот	2	2
145	другой стороны	2	2
146	вместе с	4	2
147	но зато	3	2
148	на него	2	2
