N	2gram	Trubetskoy	RusskieA
1	и в	26	79
2	в том	11	64
3	том что	7	59
4	что в	9	57
5	не только	10	41
6	во время	4	38
7	так как	9	34
8	в этом	15	33
9	и другие	3	33
10	состоит в	2	32
11	как бы	12	31
12	но и	9	31
13	в других	3	30
14	может быть	10	28
15	и на	2	28
16	о том	6	23
17	при этом	3	22
18	а в	4	20
19	из них	7	19
20	все это	6	18
21	с тем	18	17
22	потому что	7	17
23	то что	7	17
24	таким образом	22	17
25	вместе с	15	17
26	один из	2	15
27	мы видели	2	14
28	не менее	3	14
29	в них	2	14
30	тем не	3	14
31	и не	8	14
32	и с	10	14
33	и что	4	14
34	так что	3	13
35	и по	4	13
36	к этому	3	13
37	не может	4	13
38	еще не	2	13
39	уже не	3	13
40	в которых	4	13
41	в виде	4	12
42	мы имеем	2	12
43	не имеет	5	11
44	далеко не	4	11
45	так и	6	10
46	по существу	2	10
47	так например	2	10
48	между тем	2	10
49	все же	6	10
50	что и	6	10
51	а также	2	10
52	в течение	4	10
53	представляет собой	3	10
54	но в	7	9
55	к жизни	5	9
56	и все	2	9
57	с ней	3	9
58	то же	4	9
59	но не	8	9
60	в русском	2	9
61	так же	5	8
62	того что	3	8
63	в россии	2	8
64	одно из	2	8
65	того чтобы	5	8
66	связи с	9	8
67	представление о	6	8
68	что это	3	8
69	во всех	2	8
70	для того	5	8
71	в этих	4	8
72	в своем	3	7
73	мы должны	6	7
74	начиная с	2	7
75	не в	2	7
76	главным образом	8	7
77	должна была	2	7
78	а с	7	7
79	к нему	7	7
80	для этого	2	7
81	из этих	10	7
82	и как	3	7
83	только в	4	7
84	связанные с	7	7
85	а не	5	7
86	в этой	4	6
87	должно было	2	6
88	и у	8	6
89	не всегда	2	6
90	к тому	6	6
91	в нем	4	6
92	же как	3	6
93	все эти	6	6
94	в качестве	3	6
95	в одном	3	6
96	и о	3	6
97	должен был	4	6
98	на нее	3	6
99	и другой	2	6
100	приводит к	2	6
101	в таком	3	6
102	и потому	6	5
103	вплоть до	2	5
104	но если	2	5
105	тогда когда	2	5
106	что он	4	5
107	прежде всего	2	5
108	в разных	2	5
109	к ним	3	5
110	в свою	2	5
111	в то	4	5
112	в связи	3	5
113	не было	2	5
114	тот же	2	5
115	в его	5	5
116	только для	2	5
117	ничего общего	2	5
118	в русских	2	5
119	не с	2	5
120	и для	5	5
121	с целью	2	5
122	с другой	8	5
123	и к	5	5
124	которые в	2	4
125	если в	3	4
126	некоторые из	2	4
127	у них	3	4
128	и при	3	4
129	связано с	2	4
130	от них	2	4
131	или по	2	4
132	в образе	2	4
133	и тогда	4	4
134	во всяком	6	4
135	и от	4	4
136	по своему	2	4
137	связанных с	2	4
138	несмотря на	6	4
139	и здесь	2	4
140	и из	2	4
141	в народном	3	4
142	но все	7	4
143	именно в	2	4
144	в котором	4	4
145	уже в	2	4
146	всяком случае	6	4
147	иной характер	2	4
148	и после	2	4
149	тем и	2	4
150	никогда не	5	3
151	должны признать	2	3
152	то есть	4	3
153	в виду	2	3
154	на все	2	3
155	в одно	2	3
156	или менее	5	3
157	что все	4	3
158	и это	2	3
159	более или	5	3
160	тех пор	2	3
161	точки зрения	13	3
162	связь с	2	3
163	и те	3	3
164	в области	9	3
165	но вместе	2	3
166	в другое	2	3
167	с другими	4	3
168	в которой	3	3
169	в эту	2	3
170	к другу	2	3
171	если бы	3	3
172	так называемой	2	3
173	отношению к	3	3
174	сих пор	5	3
175	русского народа	3	3
176	с одной	7	3
177	на этот	4	3
178	не к	2	3
179	на то	2	3
180	все что	2	3
181	когда он	3	3
182	из которых	4	3
183	так чтобы	2	3
184	можно назвать	2	3
185	с точки	6	3
186	как на	8	3
187	что именно	2	3
188	тому же	5	3
189	быть и	2	3
190	до сих	5	3
191	в себе	6	2
192	по тому	2	2
193	не как	2	2
194	в силу	5	2
195	в конце	6	2
196	отношение к	5	2
197	и наконец	2	2
198	одним из	2	2
199	его от	2	2
200	подойти к	3	2
201	образом в	5	2
202	с другом	5	2
203	ко всему	2	2
204	людей и	2	2
205	одной стороны	7	2
206	отличаются от	2	2
207	очень много	2	2
208	случае не	3	2
209	что эти	3	2
210	можно сказать	3	2
211	для него	3	2
212	относится к	2	2
213	с его	2	2
214	сказать что	2	2
215	он не	4	2
216	в начале	2	2
217	особенно в	2	2
218	из своих	2	2
219	и даже	3	2
220	мы можем	2	2
221	друг с	5	2
222	целый ряд	4	2
223	общего с	2	2
224	этом отношении	2	2
225	ее с	2	2
226	с этой	3	2
227	не могло	2	2
228	на западе	3	2
229	и является	2	2
230	и связанные	2	2
231	и если	3	2
232	и действительно	2	2
233	из этого	2	2
234	и особенно	2	2
235	от людей	2	2
236	и сами	2	2
