N	2gram	Propp_Isto	VrazhdaK
1	не только	30	9
2	и что	15	8
3	в этом	19	8
4	и в	41	8
5	что в	21	7
6	но и	20	7
7	и все	6	7
8	то что	12	7
9	но в	7	6
10	как и	8	6
11	в котором	3	6
12	в начале	2	6
13	в нем	12	6
14	и с	4	6
15	все же	14	6
16	и даже	3	6
17	и не	12	5
18	не было	3	5
19	об этом	7	5
20	то же	12	5
21	в то	6	5
22	у него	16	5
23	для нас	8	4
24	уже в	4	4
25	это не	14	4
26	все это	9	4
27	при этом	7	4
28	о том	15	4
29	в ней	4	4
30	как бы	8	4
31	так же	6	4
32	что он	29	4
33	с ним	9	4
34	может быть	19	4
35	т е	34	3
36	и у	3	3
37	в том	14	3
38	в чем	5	3
39	его в	7	3
40	далеко не	3	3
41	что у	6	3
42	в своем	3	3
43	том что	18	3
44	в его	4	3
45	в связи	3	3
46	и о	2	3
47	и его	11	3
48	и как	3	3
49	он был	2	3
50	в русской	8	3
51	он не	8	3
52	связи с	3	3
53	к этому	5	3
54	но он	4	3
55	на то	5	3
56	наряду с	2	3
57	в конце	4	3
58	с его	4	3
59	тем что	11	3
60	никогда не	16	2
61	в одну	3	2
62	же не	2	2
63	и то	3	2
64	в них	4	2
65	уже не	8	2
66	одна из	7	2
67	к ним	3	2
68	начиная с	2	2
69	в него	4	2
70	при помощи	6	2
71	и это	9	2
72	довольно много	2	2
73	на первый	6	2
74	мы знаем	4	2
75	а в	12	2
76	а также	2	2
77	в этой	2	2
78	тогда как	4	2
79	его с	2	2
80	в своей	4	2
81	но как	4	2
82	и он	8	2
83	в себе	3	2
84	еще не	13	2
85	пришел к	2	2
86	точки зрения	4	2
87	о чем	2	2
88	же как	6	2
89	тем более	2	2
90	это в	3	2
91	после этого	8	2
92	таким образом	15	2
93	в русских	3	2
94	и ее	6	2
95	во время	7	2
96	что я	2	2
97	отношения к	2	2
98	на место	2	2
99	так в	10	2
100	после смерти	7	2
101	их в	3	2
102	в эту	3	2
103	не может	19	2
104	из них	2	2
105	ответ на	6	2
106	в это	3	2
107	не менее	5	2
108	его на	2	2
109	и стал	4	2
110	там же	3	2
111	но это	5	2
112	об этой	2	2
113	к себе	4	2
114	а с	3	2
115	могли быть	2	2
116	вместе с	17	2
117	отношение к	6	2
