N	3gram	Propp_Isto	DiskursI
1	в том что	6	28
2	в отличие от	3	26
3	по отношению к	6	17
4	с одной стороны	7	14
5	не может быть	8	12
6	о том что	5	9
7	то же самое	3	5
8	подобно тому как	3	5
9	не только в	5	5
10	с другой стороны	7	5
11	дело в том	3	5
12	тем не менее	7	4
13	в этом случае	3	4
14	более или менее	5	3
15	как будто бы	2	3
16	на первый взгляд	2	3
17	то ни было	2	2
18	бы то ни	2	2
19	большей или меньшей	2	2
20	в большинстве случаев	4	2
21	но и в	4	2
22	но не всегда	2	2
23	с самого начала	4	2
24	все же не	2	2
