N	3gram	Vinokur_Ku	DiskursI
1	в том что	23	28
2	в отличие от	3	26
3	по отношению к	8	17
4	с одной стороны	2	14
5	не может быть	5	12
6	то же время	4	10
7	о том что	6	9
8	в то же	4	8
9	в этом отношении	8	8
10	состоит в том	4	8
11	по крайней мере	11	6
12	в соответствии с	5	6
13	так и в	2	6
14	с точки зрения	16	6
15	в конечном счете	2	6
16	что же касается	4	5
17	не только в	4	5
18	на мой взгляд	2	5
19	с другой стороны	12	5
20	в первую очередь	3	5
21	в свою очередь	4	5
22	в свое время	4	4
23	тем не менее	9	4
24	а с другой	3	4
25	одного и того	2	4
26	не в том	5	4
27	можно сказать что	2	4
28	в этом случае	4	4
29	и того же	2	4
30	в наше время	3	4
31	можно говорить о	2	3
32	в том случае	3	3
33	более или менее	3	3
34	во всяком случае	8	3
35	того или иного	5	3
36	не говоря уже	2	3
37	сами по себе	2	2
38	что в них	2	2
39	речь идет о	3	2
40	в тех случаях	2	2
41	большей или меньшей	2	2
42	в большинстве случаев	2	2
43	тех случаях когда	2	2
44	в той мере	6	2
45	мере в какой	6	2
46	том случае если	3	2
47	и в том	2	2
48	в целом и	2	2
49	в том и	3	2
50	только в том	5	2
51	той мере в	6	2
52	обратить внимание на	2	2
53	а в том	2	2
54	по большей части	2	2
55	в том чтобы	9	2
