N	2gram	Losev_Dial	VLabPisa
1	таким образом	14	32
2	в этом	14	29
3	не только	35	26
4	и в	34	26
5	и т	41	25
6	может быть	30	23
7	хотя бы	9	20
8	и не	50	20
9	т е	72	18
10	в процессе	2	17
11	не может	29	17
12	т д	38	16
13	в том	17	15
14	в его	6	15
15	этом отношении	2	14
16	в силу	5	14
17	прежде всего	20	13
18	все это	13	13
19	в частности	3	12
20	как это	8	12
21	что в	12	11
22	с другой	5	11
23	из них	4	11
24	то же	9	10
25	не могут	6	10
26	но и	14	10
27	о том	11	10
28	к этому	3	9
29	об этом	8	9
30	для него	4	9
31	как видим	2	9
32	в своем	7	8
33	том что	18	8
34	на основании	3	8
35	ни один	2	8
36	могут быть	5	8
37	другой стороны	4	8
38	все эти	4	8
39	было бы	13	8
40	только в	10	8
41	вместе с	3	8
42	это не	13	7
43	из этих	5	7
44	во всех	2	7
45	то что	25	7
46	тому что	5	7
47	как и	14	7
48	их в	2	7
49	в нем	7	7
50	не было	6	7
51	говорит о	5	7
52	же в	2	7
53	а не	39	7
54	не в	11	6
55	в то	9	6
56	в себе	8	6
57	это и	12	6
58	все же	4	6
59	у него	2	6
60	идеи и	2	6
61	так и	11	6
62	в зависимости	3	6
63	и его	8	6
64	бы и	2	6
65	никогда не	9	5
66	сказать что	7	5
67	в одном	3	5
68	перед нами	5	5
69	в результате	7	5
70	зависимости от	4	5
71	в их	2	5
72	и при	4	5
73	к тому	4	5
74	как бы	19	5
75	утверждать что	6	5
76	в них	6	5
77	связи с	3	5
78	вот почему	3	5
79	же время	5	5
80	и есть	24	5
81	одна из	4	4
82	можно утверждать	2	4
83	и ее	8	4
84	силу этого	3	4
85	только что	7	4
86	в виду	12	4
87	вот как	2	4
88	ее в	3	4
89	что он	18	4
90	по существу	2	4
91	с тем	4	4
92	что все	16	4
93	что для	5	4
94	когда он	3	4
95	и сводится	3	4
96	отнюдь не	16	4
97	в самом	9	4
98	равно как	2	4
99	как раз	11	4
100	в ее	5	4
101	с ними	3	4
102	познания и	2	4
103	в своей	4	4
104	в связи	3	4
105	можно сказать	5	4
106	в этой	3	4
107	чем же	3	4
108	с его	7	4
109	и от	4	3
110	никак не	3	3
111	например в	3	3
112	при помощи	6	3
113	и к	5	3
114	с этим	4	3
115	мы имеем	3	3
116	так же	7	3
117	но как	3	3
118	и он	3	3
119	том как	2	3
120	всех этих	3	3
121	бы в	5	3
122	та или	4	3
123	но даже	4	3
124	в конце	2	3
125	его в	2	3
126	и как	13	3
127	тому как	5	3
128	если бы	10	3
129	подобно тому	5	3
130	как он	4	3
131	как о	6	3
132	для того	4	3
133	у нас	7	3
134	как на	6	3
135	говорил что	2	3
136	утверждает что	3	3
137	его не	3	3
138	мы знаем	3	3
139	при всем	5	3
140	того что	22	3
141	нет и	5	3
142	что у	2	3
143	она не	10	3
144	а в	3	3
145	в котором	2	3
146	именно в	5	3
147	точки зрения	43	3
148	даже и	9	3
149	мира и	3	3
150	что оно	9	3
151	говорить не	3	3
152	или иная	3	3
153	человека и	2	3
154	что не	8	3
155	жизни и	8	3
156	что и	8	3
157	и по	2	3
158	или в	4	3
159	что они	2	3
160	же и	2	3
161	сил и	2	3
162	в слове	3	3
163	вовсе не	18	3
164	в противоположность	3	3
165	не о	6	2
166	в целях	4	2
167	от его	2	2
168	да и	4	2
169	я бы	3	2
170	чтобы не	4	2
171	иметь в	3	2
172	или иной	4	2
173	показывает что	4	2
174	и потому	6	2
175	но то	3	2
176	того или	6	2
177	как например	2	2
178	еще и	2	2
179	только то	2	2
180	то это	9	2
181	о чем	2	2
182	одной стороны	3	2
183	крайней мере	10	2
184	могут не	2	2
185	вплоть до	2	2
186	должно быть	7	2
187	что она	13	2
188	даже не	8	2
189	и формы	2	2
190	отличается от	9	2
191	что нет	5	2
192	и даже	21	2
193	от того	9	2
194	и у	3	2
195	уже по	3	2
196	которая не	2	2
197	а как	2	2
198	нет ни	5	2
199	в особенности	9	2
200	не всегда	3	2
201	и наконец	2	2
202	в науке	3	2
203	еще не	7	2
204	после этого	2	2
205	нет никаких	3	2
206	не приходится	2	2
207	между собою	3	2
208	понимать как	4	2
209	в течение	4	2
210	а для	2	2
211	по крайней	10	2
212	в чем	11	2
213	с одной	4	2
214	его от	2	2
215	что даже	2	2
216	заключается в	3	2
217	но вот	3	2
218	то о	2	2
219	и значит	3	2
220	одной из	3	2
221	что его	5	2
222	в жизни	4	2
223	но не	3	2
224	и для	5	2
225	ни с	4	2
226	также и	6	2
227	не менее	11	2
228	одному тому	3	2
229	но в	3	2
230	они не	3	2
231	на то	5	2
232	он может	2	2
233	такое понимание	2	2
234	что такое	25	2
235	зависит от	4	2
236	все его	2	2
237	не вполне	2	2
238	в точном	2	2
239	в своих	3	2
240	в ней	4	2
241	в сфере	3	2
242	из себя	3	2
243	но для	3	2
244	этой точки	4	2
245	на этом	3	2
246	тогда когда	9	2
247	из которых	4	2
248	идеи в	2	2
249	он и	3	2
250	значит что	29	2
251	что мы	10	2
252	только не	10	2
253	можно ли	6	2
254	по себе	31	2
255	вот это	3	2
256	всяком случае	3	2
257	ни одного	2	2
258	может не	4	2
259	же как	4	2
260	должны быть	7	2
261	по одному	3	2
262	говорить о	13	2
263	было в	2	2
264	и может	2	2
265	по его	2	2
266	только о	4	2
267	е в	4	2
268	он не	8	2
269	должна быть	11	2
270	хотя и	9	2
271	во всяком	5	2
272	того как	2	2
