N	2gram	Nazirov_Tv	Freidism
1	и не	12	34
2	таким образом	14	34
3	не может	9	30
4	может быть	11	28
5	и в	40	28
6	в этом	11	28
7	прежде всего	10	26
8	в его	19	25
9	и его	14	22
10	как бы	26	19
11	то что	9	17
12	вовсе не	5	16
13	так как	6	15
14	точка зрения	2	15
15	все эти	3	15
16	самом деле	4	14
17	так и	5	14
18	в своей	8	14
19	с ним	4	14
20	во всех	2	13
21	и все	6	13
22	в душе	4	13
23	но в	11	13
24	как и	16	13
25	по отношению	3	13
26	и потому	4	12
27	том что	14	12
28	то же	19	12
29	что он	11	12
30	ни в	2	12
31	в самом	6	12
32	и наконец	3	12
33	для него	9	12
34	все это	14	12
35	сказать что	3	11
36	его в	2	11
37	отношению к	3	11
38	мы знаем	2	11
39	только в	7	11
40	никогда не	13	10
41	и с	9	10
42	не только	16	10
43	но и	10	10
44	не в	3	10
45	он не	10	10
46	в том	13	10
47	мы уже	2	10
48	один из	5	10
49	тот же	3	10
50	могут быть	4	9
51	к этому	4	9
52	и др	2	9
53	в чем	4	9
54	уже не	6	9
55	и на	12	9
56	мы не	3	9
57	а не	9	9
58	во всяком	2	9
59	с его	12	9
60	все же	9	8
61	с этим	2	8
62	было бы	2	8
63	по мнению	4	8
64	и вот	2	8
65	еще не	5	8
66	а в	10	8
67	в ней	2	8
68	всяком случае	2	8
69	при этом	14	8
70	так сказать	4	7
71	не могут	2	7
72	до конца	2	7
73	в жизни	3	7
74	в то	23	7
75	в себе	3	7
76	что в	17	7
77	хотя бы	5	7
78	роль в	2	7
79	я и	3	7
80	не является	3	7
81	того что	3	7
82	на протяжении	3	7
83	и у	3	7
84	но не	7	7
85	что все	4	7
86	более того	2	7
87	с самого	3	7
88	об этом	4	7
89	связь с	3	7
90	в нем	4	7
91	из них	4	7
92	жизни и	3	7
93	в этой	7	7
94	на самом	3	6
95	в человеке	4	6
96	человека и	6	6
97	не менее	8	6
98	в таком	4	6
99	и только	2	6
100	и о	2	6
101	если он	4	6
102	она не	2	6
103	к тому	2	6
104	можно сказать	2	6
105	в свою	8	6
106	как раз	2	6
107	и что	2	6
108	же время	18	6
109	во время	2	6
110	в основе	3	6
111	ничего не	3	5
112	что она	5	5
113	в которой	5	5
114	и по	5	5
115	во второй	3	5
116	со всеми	3	5
117	в этих	2	5
118	как это	2	5
119	не знает	2	5
120	самого начала	3	5
121	что и	3	5
122	ее в	3	5
123	тому что	2	5
124	далеко не	3	5
125	в своих	8	5
126	это не	9	5
127	той же	4	5
128	в процессе	3	5
129	отнюдь не	9	5
130	не было	3	5
131	в ее	3	5
132	с ними	3	5
133	он сам	8	5
134	и до	2	5
135	в себя	3	5
136	вместе с	4	5
137	данном случае	2	4
138	человека в	9	4
139	одна из	5	4
140	в мир	2	4
141	в таких	2	4
142	все время	3	4
143	его к	2	4
144	так же	6	4
145	подхода к	3	4
146	но это	10	4
147	мысли и	5	4
148	с ее	3	4
149	в этот	3	4
150	тем не	2	4
151	на него	2	4
152	если бы	4	4
153	таком случае	2	4
154	в виду	3	4
155	в основном	9	4
156	но ведь	2	4
157	свою очередь	2	4
158	это как	4	4
159	только на	2	4
160	у него	11	4
161	как в	10	4
162	к ней	3	4
163	между собой	2	4
164	в своем	4	4
165	только с	3	4
166	человека к	2	4
167	влияние на	3	4
168	едва ли	2	4
169	в котором	8	4
170	потому что	10	4
171	именно в	6	4
172	этот вопрос	4	4
173	личности и	2	4
174	что оно	2	4
175	не существует	3	4
176	мы находим	2	4
177	по себе	2	4
178	в целом	7	4
179	только как	2	4
180	это и	4	4
181	в истории	2	4
182	в данном	2	4
183	я не	5	4
184	сводится к	2	4
185	и от	8	3
186	и притом	2	3
187	жизни в	9	3
188	нуждается в	2	3
189	конечном счете	4	3
190	о своих	2	3
191	и даже	8	3
192	и как	5	3
193	этот принцип	2	3
194	а как	2	3
195	он был	2	3
196	одним из	6	3
197	у нас	2	3
198	и со	2	3
199	такой же	4	3
200	в искусстве	3	3
201	к человеку	3	3
202	на этот	3	3
203	не так	5	3
204	ни на	3	3
205	значение в	2	3
206	от всех	2	3
207	о том	9	3
208	это уже	7	3
209	того же	2	3
210	человека с	2	3
211	в конечном	4	3
212	на себя	2	3
213	приводит к	4	3
214	в одном	3	3
215	уже в	5	3
216	себя в	3	3
217	для них	2	3
218	которой он	2	3
219	говорит о	3	3
220	мы видим	3	3
221	когда он	4	3
222	и есть	2	3
223	и сам	5	3
224	во всей	2	3
225	о которой	2	3
226	между тем	2	3
227	в книге	3	2
228	то в	2	2
229	но эти	3	2
230	ли это	2	2
231	что как	2	2
232	время в	3	2
233	из этой	3	2
234	в одной	5	2
235	по преимуществу	4	2
236	же с	10	2
237	мировоззрения и	2	2
238	дело в	4	2
