N	2gram	Nazirov_Tv	TeoriaLi
1	в качестве	2	33
2	в мире	8	26
3	не только	16	24
4	и в	40	24
5	в частности	4	23
6	то есть	16	22
7	может быть	11	22
8	в том	13	20
9	при этом	14	20
10	тогда как	3	18
11	и не	12	17
12	а в	10	15
13	но и	10	14
14	так и	5	14
15	а не	9	14
16	в себе	3	14
17	но не	7	13
18	представляет собой	4	13
19	в этом	11	12
20	то же	19	12
21	но в	11	12
22	сводится к	2	12
23	в его	19	12
24	том что	14	11
25	своего рода	7	11
26	и его	14	11
27	по отношению	3	10
28	отношению к	3	10
29	как это	2	10
30	что в	17	10
31	в данном	2	9
32	не в	3	9
33	в искусстве	3	9
34	в душе	4	9
35	с другой	4	9
36	в то	23	9
37	только в	7	9
38	не может	9	8
39	как бы	26	8
40	в своей	8	8
41	же время	18	8
42	в своем	4	7
43	себя в	3	7
44	в принципе	5	7
45	во второй	3	7
46	на смену	2	7
47	отличие от	3	7
48	в самом	6	7
49	в отличие	3	7
50	однако в	3	7
51	место в	6	7
52	не столько	4	7
53	в нем	4	7
54	тем самым	10	6
55	другой стороны	2	6
56	в первой	4	6
57	конечном счете	4	6
58	в конечном	4	6
59	не менее	8	6
60	героя и	4	6
61	еще не	5	6
62	то что	9	6
63	как и	16	6
64	в русской	5	6
65	уже не	6	6
66	приводит к	4	6
67	в ее	3	6
68	в основе	3	6
69	с его	12	6
70	данном случае	2	5
71	по преимуществу	4	5
72	как в	10	5
73	как правило	3	5
74	как к	2	5
75	ни в	2	5
76	в виду	3	5
77	и тем	2	5
78	по сути	6	5
79	не является	3	5
80	и о	2	5
81	для него	9	5
82	не случайно	6	5
83	между тем	2	5
84	могут быть	4	5
85	а а	4	5
86	того что	3	5
87	он не	10	5
88	в себя	3	5
89	можно сказать	2	5
90	никогда не	13	4
91	сказать что	3	4
92	его в	2	4
93	самим собой	4	4
94	это не	9	4
95	во времени	3	4
96	в их	5	4
97	в этих	2	4
98	что он	11	4
99	в литературе	4	4
100	далеко не	3	4
101	к тому	2	4
102	того же	2	4
103	в свою	8	4
104	в целом	7	4
105	личности и	2	4
106	личности в	3	4
107	отношении к	2	4
108	и того	2	4
109	и что	2	4
110	или даже	2	4
111	с ее	3	4
112	и сам	5	4
113	не знает	2	4
114	хотя и	5	4
115	но он	3	4
116	даже в	4	3
117	перед нами	3	3
118	и притом	2	3
119	в соответствии	7	3
120	мышления и	2	3
121	и потому	4	3
122	во всех	2	3
123	авторской позиции	3	3
124	в которой	5	3
125	не все	2	3
126	человека с	2	3
127	тем не	2	3
128	и как	5	3
129	если бы	4	3
130	к которому	3	3
131	роль в	2	3
132	или в	2	3
133	мира в	2	3
134	свою очередь	2	3
135	в таком	4	3
136	одним из	6	3
137	с этой	4	3
138	в момент	5	3
139	и вот	2	3
140	ни к	2	3
141	была бы	2	3
142	в романе	24	3
143	между собой	2	3
144	с одной	2	3
145	и др	2	3
146	а с	4	3
147	в жизни	3	3
148	столь же	2	3
149	именно в	6	3
150	потому что	10	3
151	сути дела	5	3
152	прежде всего	10	3
153	отнюдь не	9	3
154	не будет	2	3
155	все эти	3	3
156	и по	5	3
157	связи с	2	3
158	человека к	2	3
159	в связи	2	3
160	таким образом	14	3
161	во всей	2	3
162	в финале	4	3
163	например в	3	3
164	в этой	7	3
165	в одном	3	3
166	как раз	2	3
167	вовсе не	5	3
168	вслед за	2	3
169	может служить	2	2
170	но она	2	2
171	к одному	2	2
172	не могли	2	2
173	видим в	2	2
174	имеет в	2	2
175	не могут	2	2
176	то в	2	2
177	слова не	2	2
178	восходит к	2	2
179	так же	6	2
180	если в	3	2
181	дело не	3	2
182	человека и	6	2
183	дело в	4	2
184	что она	5	2
185	говорит что	2	2
186	как уже	2	2
187	в глаза	2	2
188	об этом	4	2
189	и даже	8	2
190	в конце	5	2
191	и мире	2	2
192	и здесь	2	2
193	на деле	3	2
194	таком случае	2	2
195	я и	3	2
196	это и	4	2
197	превращается в	2	2
198	времени и	4	2
199	казалось бы	4	2
200	жизни в	9	2
201	у нас	2	2
202	только на	2	2
203	и другие	4	2
204	у него	11	2
205	самом деле	4	2
206	в рассказе	4	2
207	ведет к	3	2
208	известном смысле	2	2
209	в чем	4	2
210	вместе с	4	2
211	в одно	2	2
212	русской литературе	4	2
213	здесь мы	2	2
214	одной из	7	2
215	жизни но	2	2
216	и это	2	2
217	ее в	3	2
218	в повести	5	2
219	тому что	2	2
220	от всех	2	2
221	о том	9	2
222	жизнь на	2	2
223	роман и	2	2
224	и на	12	2
225	на себя	2	2
226	в диалоге	2	2
227	соответствии с	7	2
228	в году	22	2
229	войне и	2	2
230	о жизни	4	2
231	всякий раз	2	2
232	в известном	2	2
233	один из	5	2
234	по себе	2	2
235	в литературной	2	2
236	к жизни	4	2
237	что и	3	2
238	духовной жизни	2	2
239	а затем	5	2
240	для автора	4	2
241	с ними	3	2
242	в пространстве	2	2
243	все это	14	2
244	более не	4	2
245	что они	3	2
246	времени в	13	2
247	как будто	5	2
248	в первом	3	2
249	человеческих отношений	3	2
250	который в	4	2
251	я не	5	2
252	xix века	13	2
253	первой части	7	2
