N	2gram	Bakhtin_KF	Mirosoze
1	и в	28	97
2	может быть	45	64
3	не только	5	63
4	в этом	15	55
5	но и	9	54
6	он не	6	53
7	а не	17	53
8	в нем	32	49
9	не может	29	49
10	и не	28	39
11	никогда не	5	38
12	потому что	2	37
13	в ней	3	37
14	не было	8	36
15	не в	13	34
16	и есть	10	33
17	для него	13	31
18	есть лишь	5	30
19	не есть	22	30
20	прежде всего	4	29
21	как и	5	29
22	но в	5	27
23	в мире	8	27
24	человека и	3	26
25	и это	12	25
26	в своей	11	25
27	и все	9	24
28	в своем	17	23
29	что в	4	23
30	что он	2	22
31	в себе	21	20
32	отношение к	6	20
33	до конца	3	19
34	как бы	9	19
35	человек не	2	19
36	в его	42	18
37	и потому	2	17
38	того что	3	17
39	в том	6	16
40	том что	4	16
41	то что	7	16
42	было бы	8	16
43	и его	18	16
44	в этой	2	15
45	не знает	5	15
46	в котором	24	15
47	она не	2	14
48	та же	3	13
49	и на	3	13
50	это не	10	12
51	к нему	12	12
52	все это	10	12
53	но не	12	12
54	с тем	2	11
55	но это	6	11
56	менее всего	6	11
57	хотя бы	5	11
58	только в	18	11
59	был бы	3	11
60	как в	2	11
61	и для	10	11
62	уже не	7	11
63	жизни и	8	11
64	это и	3	10
65	один из	2	10
66	должна быть	4	10
67	то же	5	10
68	не имеет	6	10
69	бы и	3	9
70	а в	5	9
71	не будет	2	9
72	что и	7	9
73	я не	6	9
74	должно быть	6	9
75	в свою	3	9
76	человек и	2	9
77	с ним	5	9
78	лишь в	8	9
79	вопрос о	2	8
80	ничего не	3	8
81	от него	3	8
82	мира и	4	8
83	что не	3	8
84	того чтобы	2	8
85	нет в	4	8
86	с его	2	8
87	себя в	8	8
88	тем что	3	8
89	для того	3	8
90	отношении к	2	8
91	что есть	2	8
92	нет и	3	8
93	о том	3	8
94	должен быть	7	7
95	точки зрения	13	7
96	себя и	5	7
97	жизни в	5	7
98	в жизни	2	7
99	не могу	3	7
100	во всем	7	7
101	чтобы не	2	6
102	его в	5	6
103	не как	4	6
104	людей и	3	6
105	и она	2	6
106	в ее	17	6
107	его на	2	6
108	совсем не	2	6
109	это есть	2	6
110	быть и	3	6
111	что это	4	6
112	этого мира	3	6
113	если бы	8	6
114	бы не	3	6
115	к чему	3	6
116	жизнь и	2	6
117	и здесь	7	6
118	оно не	2	5
119	в то	3	5
120	лишь момент	6	5
121	в их	9	5
122	так и	2	5
123	и этот	3	5
124	от этого	2	5
125	и я	6	5
126	тот же	3	5
127	в основе	5	5
128	в мир	2	5
129	и мир	2	5
130	и мы	2	5
131	него и	2	5
132	момент в	7	5
133	и как	2	5
134	для этого	2	5
135	еще не	5	5
136	его и	2	5
137	культуры и	5	5
138	думать что	2	5
139	ее и	6	4
140	по отношению	26	4
141	в каждом	3	4
142	к себе	2	4
143	от того	3	4
144	как к	2	4
145	в момент	3	4
146	а с	2	4
147	по своему	3	4
148	в чем	4	4
149	в него	2	4
150	одна и	2	4
151	только с	3	4
152	а для	2	4
153	тому что	2	4
154	и этим	3	4
155	место в	6	4
156	и тот	3	4
157	истины и	2	4
158	себе и	3	4
159	могут быть	3	4
160	тогда когда	3	4
161	все эти	11	4
162	мир в	12	4
163	к которой	2	4
164	его с	2	4
165	сознания и	3	4
166	ни в	12	4
167	и их	6	4
168	и только	7	4
169	мы не	3	4
170	отношению к	22	4
171	от его	5	4
172	еще более	2	4
173	может не	2	4
174	в своих	4	4
175	на своем	3	4
176	мира не	3	3
177	были бы	2	3
178	ведь это	2	3
179	можно и	2	3
180	не остается	2	3
181	для себя	7	3
182	есть момент	3	3
183	а лишь	3	3
184	и тем	3	3
185	все же	5	3
186	можно ли	2	3
187	это уже	2	3
188	между тем	4	3
189	в виду	3	3
190	и та	3	3
191	и когда	2	3
192	проникает в	5	3
193	и то	2	3
194	бытия и	10	3
195	и эта	2	3
196	к этому	2	3
197	конечно не	7	3
198	не значит	6	3
199	я и	5	3
200	но ведь	5	3
201	для нас	4	3
202	со всеми	2	3
203	чем не	4	3
204	но этот	2	3
205	из него	4	3
206	лишь как	3	3
207	во всех	11	3
208	с другим	4	3
209	он может	2	3
210	входит в	4	3
211	но для	3	3
212	которой все	2	3
213	в одном	5	3
214	ближе к	3	3
215	себя а	4	3
216	не быть	3	3
217	и за	2	3
218	не о	2	2
219	на самом	3	2
220	в каком	4	2
221	или иной	2	2
222	его к	2	2
223	нисколько не	4	2
224	бытия как	5	2
225	не потому	2	2
226	а как	2	2
227	и других	2	2
228	под ним	2	2
229	самом деле	3	2
230	тем как	3	2
231	смысл в	3	2
232	быть в	4	2
233	о нем	4	2
234	только это	2	2
235	не менее	3	2
236	весь мир	2	2
237	тем самым	4	2
238	ему в	2	2
239	во мне	3	2
240	и ее	2	2
241	во всей	4	2
242	этого слова	2	2
243	лишь при	3	2
244	ее как	2	2
245	бы он	2	2
246	себе а	2	2
247	бы быть	5	2
248	его как	5	2
249	это было	2	2
250	философии но	2	2
251	он ни	2	2
252	если я	2	2
253	жизнь как	6	2
254	мира в	6	2
255	от своей	5	2
256	сознания в	2	2
257	бытия не	2	2
258	смысле в	2	2
259	смысл и	6	2
260	не по	4	2
261	этот мир	2	2
262	ни к	2	2
263	но нет	2	2
264	с человеком	3	2
265	быть не	2	2
266	ответственности и	2	2
267	в смысле	6	2
268	что я	5	2
269	которой он	2	2
270	из себя	11	2
271	жизни как	5	2
272	ни у	2	2
273	себя за	2	2
274	если не	2	2
275	но я	2	2
276	и именно	2	2
277	он и	2	2
278	что за	2	2
279	по себе	2	2
280	и действительно	6	2
281	ко всему	5	2
282	действительной жизни	3	2
283	момент его	9	2
284	нем не	2	2
285	что эта	2	2
286	и весь	4	2
287	бытия но	5	2
288	но эта	6	2
