N	2gram	Voloshinov	UchenyiS
1	и в	32	14
2	не только	18	10
3	а не	15	10
4	и не	42	8
5	прежде всего	19	8
6	то что	12	7
7	не может	40	7
8	в этом	27	7
9	может быть	50	6
10	перестает быть	2	5
11	и только	2	5
12	то же	19	5
13	хотя бы	8	5
14	все это	4	5
15	но и	17	4
16	в этой	3	4
17	что такое	3	4
18	с другой	6	4
19	в их	5	4
20	конечно не	9	4
21	у нас	4	3
22	в частности	2	3
23	и т.д	6	3
24	не следует	2	3
25	это не	5	3
26	формы в	3	3
27	и то	4	3
28	в своей	5	3
29	все же	13	3
30	не как	5	3
31	как и	19	3
32	в то	7	3
33	но в	13	3
34	же время	7	3
35	и формы	5	3
36	или точнее	2	3
37	ни было	15	3
38	было бы	8	3
39	в области	3	3
40	бы то	11	3
41	то ни	12	3
42	другой стороны	7	3
43	для него	18	3
44	в самом	14	2
45	в себе	5	2
46	в широком	2	2
47	же не	2	2
48	форму и	3	2
49	является в	5	2
50	же самое	9	2
51	что он	5	2
52	таким образом	29	2
53	формы и	4	2
54	но не	2	2
55	и для	15	2
56	если бы	12	2
57	противном случае	2	2
58	не все	3	2
59	между тем	8	2
60	самом деле	18	2
61	только в	14	2
62	одним из	4	2
63	этом смысле	2	2
64	и является	4	2
65	не есть	6	2
66	ничего не	9	2
67	всех этих	2	2
68	даже и	2	2
69	и с	4	2
70	что и	5	2
71	могут быть	4	2
72	на первый	2	2
73	не приходится	3	2
74	не могут	4	2
75	смысле этого	7	2
76	это было	2	2
77	превращается в	2	2
78	сих пор	10	2
79	по себе	5	2
80	тем что	3	2
81	том что	12	2
82	а как	7	2
83	в его	10	2
84	сводится к	5	2
85	в том	13	2
86	что все	3	2
87	этом отношении	4	2
88	с его	6	2
89	как раз	5	2
90	должна быть	6	2
91	конце концов	3	2
92	его и	3	2
93	для всех	2	2
94	в противном	2	2
95	не в	13	2
96	бы и	2	2
97	в конце	5	2
98	в системе	3	2
99	мы не	6	2
100	до сих	10	2
101	могли бы	2	2
102	конечно нет	2	2
103	не столько	5	2
