N	3gram	Bakhtin_Pr	Russkaja
1	друг с другом	3	14
2	то же время	13	10
3	в то же	13	10
4	с точки зрения	21	9
5	в том что	6	7
6	во всяком случае	4	6
7	на самом деле	4	6
8	до сих пор	9	5
9	бы то ни	3	4
10	на то что	2	4
11	более или менее	4	4
12	не может быть	8	4
13	в конце концов	7	3
14	в лучшем случае	2	3
15	в данном случае	2	3
16	можно было бы	3	3
17	и не может	6	3
18	а следовательно и	2	2
19	в том и	2	2
20	в большинстве случаев	10	2
21	в себе и	2	2
22	о том что	2	2
23	в настоящее время	3	2
24	сама по себе	5	2
