N	2gram	Nazirov_Vr	StatiiOP
1	и в	8	103
2	в том	3	89
3	том что	3	77
4	в этом	8	76
5	что в	7	74
6	не только	9	60
7	о том	4	47
8	но и	7	46
9	то что	7	44
10	что он	4	42
11	в его	3	42
12	и не	5	41
13	может быть	4	38
14	т е	3	33
15	в этой	2	31
16	все это	4	29
17	тем что	3	29
18	таким образом	2	28
19	а в	2	27
20	но в	6	26
21	и его	3	24
22	все же	6	23
23	точки зрения	2	23
24	это не	4	20
25	в то	5	19
26	в своей	2	19
27	об этом	5	18
28	не может	2	18
29	в котором	6	18
30	он не	3	18
31	в году	18	17
32	в россии	5	17
33	как бы	4	17
34	в русской	3	17
35	в ней	4	16
36	как и	6	15
37	для него	2	15
38	я не	3	15
39	у него	5	15
40	как раз	2	15
41	между тем	5	14
42	то же	5	14
43	с точки	2	14
44	и что	8	14
45	в своем	3	13
46	в конце	3	13
47	а с	2	13
48	но это	2	13
49	в нем	6	13
50	из них	2	13
51	в той	2	13
52	вместе с	2	13
53	не менее	2	12
54	что у	3	12
55	в своих	4	12
56	никогда не	2	11
57	и с	6	11
58	в них	2	11
59	на то	3	11
60	не было	5	11
61	так же	4	10
62	ответ на	2	10
63	в виду	4	10
64	речь идет	3	10
65	в истории	4	10
66	в начале	6	10
67	же время	5	10
68	но он	3	10
69	письме к	4	9
70	в чем	3	9
71	несмотря на	4	9
72	место в	2	9
73	он был	3	9
74	во время	2	9
75	для нас	4	9
76	и это	2	9
77	при помощи	2	8
78	отношение к	2	8
79	по мнению	2	8
80	связи с	3	8
81	к этому	3	8
82	а также	2	8
83	это в	2	8
84	и даже	6	8
85	одним из	3	8
86	п в	2	8
87	и о	3	8
88	о чем	2	7
89	уже в	4	7
90	в это	2	7
91	в эту	2	7
92	тем более	2	7
93	и то	2	7
94	еще не	2	7
95	года в	7	7
96	не мог	2	7
97	в себе	2	6
98	в в	2	6
99	и все	7	6
100	в известном	2	6
101	и во	3	6
102	же как	2	6
103	с его	3	6
104	он писал	2	6
105	что я	2	6
106	в письме	5	6
107	его в	3	5
108	давно уже	3	5
109	и далее	2	5
110	том же	2	5
111	при этом	4	5
112	на это	2	5
113	целый ряд	4	5
114	раз в	3	5
115	столь же	2	5
116	уже не	2	5
117	во многом	4	5
118	о которой	2	5
119	начиная с	2	4
120	г а	5	4
121	одна из	2	4
122	в период	2	4
123	и у	3	4
124	в романе	6	4
125	но как	2	4
126	с нею	2	4
127	в связи	3	4
128	и он	2	4
129	могли быть	2	4
130	с которым	2	4
131	эти годы	2	3
132	и как	3	3
133	так в	2	3
134	и ее	2	3
135	эти слова	3	3
136	в нашей	2	3
137	х годов	4	3
138	и уже	3	3
139	россии в	2	3
140	русской литературе	3	3
141	их в	2	3
142	в свою	2	3
143	отношения к	2	3
144	очень хорошо	2	3
145	на основе	2	3
146	который был	3	2
147	при создании	2	2
148	эту сцену	2	2
149	в момент	2	2
150	мы знаем	2	2
151	в черновиках	3	2
152	в среде	2	2
153	в роман	2	2
154	права на	2	2
155	книгой в	2	2
156	в эти	2	2
157	тогда как	2	2
158	в одну	2	2
159	его с	2	2
160	этот человек	2	2
161	в глазах	2	2
162	что есть	3	2
163	далеко не	3	2
164	я хотел	3	2
165	ноября года	2	2
166	в письмах	2	2
167	и стал	2	2
168	письмо к	2	2
169	в январе	3	2
170	это письмо	2	2
