N	2gram	Propp_Isto	Tvorches
1	и в	43	56
2	как бы	5	41
3	в его	7	37
4	в то	2	30
5	то же	11	25
6	не только	28	24
7	но в	15	24
8	и его	10	23
9	и не	16	23
10	а в	13	23
11	как и	9	23
12	и т	33	22
13	в этом	25	22
14	в том	13	21
15	что в	29	21
16	том что	12	19
17	он не	11	19
18	может быть	22	19
19	потому что	8	19
20	у него	4	18
21	то что	20	18
22	что он	17	17
23	все это	4	17
24	т д	30	17
25	и на	7	17
26	таким образом	15	17
27	никогда не	9	16
28	прежде всего	3	16
29	как в	6	16
30	при этом	4	16
31	не может	8	16
32	но и	24	16
33	в этой	7	15
34	но это	5	15
35	и с	10	15
36	это не	10	14
37	и даже	4	14
38	там же	2	13
39	о том	4	13
40	а не	13	13
41	в целом	4	12
42	в котором	5	12
43	все же	13	11
44	в своей	4	11
45	не в	9	10
46	так и	6	10
47	в русской	5	10
48	представление о	3	10
49	но не	10	10
50	когда он	2	10
51	он сам	2	10
52	только в	8	10
53	как будто	2	10
54	в свою	5	9
55	в нем	11	9
56	один из	7	9
57	а затем	6	9
58	и от	3	9
59	человека в	2	9
60	наряду с	4	9
61	даже в	4	8
62	так же	16	8
63	в себе	2	8
64	не менее	6	8
65	это уже	3	8
66	на его	5	8
67	так как	13	8
68	тогда как	6	8
69	вовсе не	3	8
70	в лице	2	8
71	к этому	10	8
72	об этом	8	8
73	еще не	15	8
74	одним из	4	8
75	хотя и	4	8
76	вместе с	12	8
77	казалось бы	2	7
78	он видит	3	7
79	в чем	4	7
80	например в	3	7
81	в дальнейшем	8	7
82	и он	2	7
83	что она	8	7
84	в этих	18	7
85	не случайно	2	7
86	уже не	11	7
87	его в	7	6
88	героя в	6	6
89	так что	8	6
90	и все	4	6
91	все эти	8	6
92	и ее	3	6
93	если он	2	6
94	одна из	2	6
95	хотя бы	3	6
96	и как	6	6
97	если бы	7	6
98	еще более	3	6
99	ничего не	12	5
100	не имеют	2	5
101	в одной	4	5
102	по отношению	2	5
103	но если	2	5
104	и у	6	5
105	однако это	4	5
106	но эта	2	5
107	в виде	2	5
108	в образе	2	5
109	в своем	2	5
110	в них	6	5
111	и это	5	5
112	что этот	4	5
113	что не	3	5
114	что и	17	5
115	мы не	3	5
116	и по	6	5
117	что они	14	5
118	тот же	2	5
119	показывает что	13	5
120	что это	4	5
121	все время	2	5
122	с этим	13	5
123	из этой	2	5
124	дело не	3	5
125	на него	4	5
126	между тем	2	5
127	и другие	6	5
128	как у	2	5
129	отношению к	2	5
130	что у	4	5
131	с другой	10	5
132	как правило	3	5
133	что я	2	5
134	если не	2	5
135	из них	7	5
136	я не	3	5
137	не было	2	5
138	перед нами	4	4
139	при помощи	11	4
140	и потому	2	4
141	он же	2	4
142	роль в	2	4
143	это и	4	4
144	только на	2	4
145	в частности	6	4
146	как это	5	4
147	не знает	2	4
148	того что	8	4
149	к нему	12	4
