N	3gram	Tiupa_Narr	Formalny
1	с точки зрения	2	40
2	не может быть	6	29
3	то же время	7	20
4	в то же	7	20
5	и т п	2	18
6	во всяком случае	2	16
7	в связи с	3	16
8	по отношению к	5	12
9	в самом деле	3	11
10	в этом отношении	5	11
11	в зависимости от	3	10
12	и не может	3	9
13	для того чтобы	4	8
14	до сих пор	3	8
15	с одной стороны	5	8
16	более или менее	2	7
17	сами по себе	2	7
18	в свою очередь	2	7
19	того или иного	3	7
20	в данном случае	12	6
21	и в то	2	6
22	не только не	2	6
23	в том что	11	6
24	в отличие от	6	5
25	к тому что	4	5
26	тем не менее	6	4
27	подобно тому как	4	4
28	но и в	4	4
29	то же самое	3	3
30	с установкой на	2	3
31	не сводится к	7	3
32	не только на	2	3
33	но при этом	3	2
34	не было и	2	2
35	как если бы	2	2
36	так и не	2	2
37	не только в	12	2
38	и все же	4	2
39	и тем самым	6	2
40	на то чтобы	2	2
41	особое место в	2	2
42	дело в том	2	2
