N	3gram	Tiupa_Narr	Vladivir
1	в том что	8	29
2	о том что	6	22
3	тем не менее	3	18
4	в связи с	2	12
5	более или менее	2	11
6	к тому же	4	11
7	в то же	3	10
8	с точки зрения	2	10
9	не может быть	5	10
10	то же время	3	9
11	точно так же	2	7
12	в данном случае	4	6
13	в отличие от	5	6
14	с другой стороны	4	6
15	так или иначе	2	6
16	бы то ни	3	5
17	не только в	2	5
18	можно сказать что	4	4
19	не что иное	2	4
20	в этом отношении	3	4
21	можно было бы	2	4
22	с одной стороны	7	4
23	что иное как	2	4
24	на себя внимание	3	3
25	в том числе	6	3
26	так и не	2	3
27	в свою очередь	3	3
28	и не в	4	2
29	так же как	2	2
30	не может не	2	2
31	в таком случае	2	2
32	то ни было	3	2
33	не то что	2	2
34	обращает на себя	3	2
