N	2gram	Trubetskoy	Sovremen
1	не может	18	17
2	точки зрения	14	12
3	может быть	17	12
4	таким образом	34	11
5	и в	24	7
6	в этом	13	7
7	и не	9	6
8	как и	10	6
9	в результате	9	6
10	мы можем	6	6
11	что же	2	5
12	с точки	8	5
13	все эти	19	5
14	и наконец	3	5
15	прежде всего	3	5
16	вопрос о	3	4
17	мы видели	2	4
18	зависимости от	2	4
19	это не	3	4
20	не только	10	4
21	в том	31	4
22	мы должны	4	4
23	как бы	10	4
24	их в	2	4
25	так как	7	4
26	точку зрения	2	4
27	если мы	4	4
28	в дальнейшем	4	4
29	в целом	5	4
30	жизни и	2	4
31	вместе с	7	4
32	а в	3	4
33	из них	5	4
34	для нас	3	3
35	не подлежит	3	3
36	и т.д	4	3
37	может не	3	3
38	и потому	3	3
39	на этой	3	3
40	но в	5	3
41	при этом	9	3
42	из двух	2	3
43	состоит из	4	3
44	не в	9	3
45	все же	15	3
46	было бы	3	3
47	в области	4	3
48	в себе	5	3
49	еще не	6	3
50	одна из	2	3
51	у нас	3	3
52	и все	9	3
53	все это	13	3
54	в нем	3	3
55	между собой	4	3
56	и к	5	3
57	что она	2	3
58	в этой	7	3
59	при таком	2	3
60	то же	4	3
61	отличается от	6	3
62	отнюдь не	2	3
63	в конце	4	3
64	ясно что	8	3
65	с общим	2	2
66	но все	5	2
67	наконец не	2	2
68	и по	3	2
69	всяком случае	2	2
70	что все	5	2
71	конечно в	2	2
72	быть и	5	2
73	можно назвать	3	2
74	не менее	7	2
75	той же	2	2
76	не могут	4	2
77	в его	5	2
78	он должен	2	2
79	с этим	12	2
80	и что	9	2
81	то и	2	2
82	во всяком	2	2
83	с другом	9	2
84	что при	7	2
85	свою очередь	2	2
86	из этих	8	2
87	в самом	8	2
88	в виде	4	2
89	знаем что	8	2
90	что в	9	2
91	в настоящее	3	2
92	совершенно не	4	2
93	в таком	4	2
94	в которой	5	2
95	у него	5	2
96	из одного	2	2
97	такой же	2	2
98	самом деле	12	2
99	в свою	2	2
100	то ни	4	2
101	если же	3	2
102	в нашем	3	2
103	подлежит сомнению	3	2
104	в один	2	2
105	только один	2	2
106	отличие от	3	2
107	настоящее время	3	2
108	тот же	3	2
109	с одной	3	2
110	на этом	2	2
111	как мы	3	2
112	говорить о	2	2
113	мы знаем	10	2
114	что это	5	2
115	и будет	2	2
116	этих двух	2	2
117	тем не	4	2
118	из которых	4	2
119	как известно	3	2
120	тем же	2	2
121	друг с	9	2
