N	3gram	Ircho_Kome	VerxiiNi
1	вместе с тем	4	8
2	с одной стороны	5	7
3	во всяком случае	4	6
4	для того чтобы	3	5
5	до сих пор	3	5
6	в том числе	4	5
7	к тому же	12	4
8	о том что	6	4
9	в конце концов	4	3
10	и таким образом	2	3
11	так или иначе	4	3
12	тем не менее	2	3
13	в том что	13	3
14	в связи с	3	3
15	то ни было	4	2
16	бы то ни	4	2
17	на то что	2	2
18	то же самое	2	2
19	таким образом в	2	2
20	то что он	2	2
21	в то же	5	2
22	то же время	5	2
23	с самого начала	2	2
24	в этом отношении	3	2
25	может быть даже	2	2
