N	2gram	Losev_Prob	Poddanst
1	не только	33	17
2	и в	62	14
3	и не	56	12
4	в области	2	11
5	в этом	25	10
6	в отношении	4	10
7	но в	17	9
8	то же	23	9
9	в том	35	9
10	в качестве	10	9
11	хотя бы	6	8
12	в пределах	3	8
13	в то	18	7
14	только в	33	7
15	но и	20	6
16	было бы	14	6
17	в смысле	2	6
18	в ней	12	6
19	xix века	2	6
20	с другой	14	5
21	не в	21	5
22	и о	8	5
23	в которых	3	5
24	о в	2	5
25	может быть	39	5
26	по себе	36	4
27	что в	11	4
28	если бы	9	4
29	но также	2	4
30	и потому	13	4
31	в своем	7	4
32	том что	25	4
33	а также	6	4
34	мы должны	13	4
35	в котором	3	4
36	и к	9	4
37	как бы	11	4
38	и если	11	4
39	то что	42	4
40	не может	14	4
41	а в	9	4
42	же в	6	4
43	что мы	12	3
44	и как	4	3
45	с тем	9	3
46	в порядке	3	3
47	в сравнении	4	3
48	но не	6	3
49	тем самым	9	3
50	сравнении с	4	3
51	это не	10	3
52	с точки	9	3
53	сами по	8	3
54	мы не	15	3
55	для того	5	3
56	в себе	23	3
57	точки зрения	14	3
58	потому что	40	3
59	одной стороны	2	3
60	в нем	13	3
61	и без	9	3
62	она есть	2	3
63	могут быть	2	3
64	прежде всего	13	3
65	и т	20	3
66	хотя и	9	3
67	с одной	3	3
68	с ними	2	3
69	заключается в	8	3
70	для нас	23	2
71	не о	2	2
72	да и	9	2
73	что из	2	2
74	в них	6	2
75	является в	3	2
76	есть не	13	2
77	отношения к	3	2
78	которое в	3	2
79	для них	4	2
80	не к	2	2
81	никак не	13	2
82	стороны и	3	2
83	и весьма	3	2
84	и это	11	2
85	есть нечто	22	2
86	слова но	3	2
87	и тем	16	2
88	в его	10	2
89	с этим	5	2
90	по сравнению	3	2
91	не менее	24	2
92	исключительно в	2	2
93	говорить о	7	2
94	для тех	2	2
95	о и	2	2
96	именно в	4	2
97	в начале	3	2
98	в виде	20	2
99	еще более	3	2
100	тем более	8	2
101	все это	9	2
102	но к	2	2
103	в частности	4	2
104	значительной мере	2	2
105	как на	2	2
106	а не	28	2
107	во всей	3	2
108	не было	6	2
109	и есть	9	2
110	и с	11	2
111	не будем	4	2
112	может ли	2	2
113	во всех	4	2
114	она ни	2	2
115	в ее	6	2
116	не нужно	2	2
117	между прочим	4	2
118	как раз	11	2
119	есть в	6	2
120	в значительной	2	2
121	того что	10	2
122	из них	4	2
123	не столько	2	2
124	отнюдь не	16	2
