N	2gram	Losev_Dial	Problemy
1	и в	35	106
2	и не	51	90
3	как бы	19	70
4	может быть	30	66
5	т е	49	59
6	в его	4	56
7	в этом	18	52
8	в нем	25	51
9	не может	16	49
10	что он	16	44
11	как и	10	44
12	но и	17	40
13	точки зрения	25	40
14	для него	2	39
15	и его	6	39
16	а не	24	38
17	не только	26	36
18	то же	21	36
19	то что	25	33
20	но в	8	33
21	прежде всего	14	32
22	в то	10	29
23	все это	14	29
24	он не	5	29
25	и все	11	28
26	не в	12	27
27	в одном	4	27
28	же время	9	26
29	к нему	12	25
30	в сущности	2	25
31	с точки	18	25
32	и т	31	25
33	в самом	6	25
34	и с	10	25
35	самом деле	6	24
36	не как	4	24
37	вовсе не	19	24
38	таким образом	5	22
39	в каждом	4	22
40	что я	5	22
41	по себе	39	22
42	как мы	5	21
43	никогда не	18	20
44	все же	9	20
45	потому что	23	20
46	только в	7	20
47	что в	19	19
48	что же	5	19
49	на самом	5	18
50	в себе	23	18
51	т п	3	18
52	все эти	4	18
53	уже не	3	18
54	еще не	4	18
55	но не	9	18
56	это не	18	17
57	в том	20	17
58	так и	18	17
59	себе самом	2	17
60	а в	8	17
61	и к	8	17
62	с ним	9	17
63	так же	6	16
64	в другом	6	16
65	если бы	12	16
66	в своей	9	16
67	этом смысле	4	16
68	о мире	2	15
69	и для	2	15
70	у него	2	15
71	в отношении	5	14
72	так как	24	14
73	в своем	7	14
74	в конце	5	14
75	я не	9	14
76	он и	2	14
77	как раз	7	14
78	его в	3	13
79	перед нами	3	13
80	и это	6	13
81	с другими	2	13
82	в мире	3	13
83	на него	2	13
84	но все	5	13
85	точка зрения	3	13
86	том что	18	12
87	в одной	4	12
88	даже в	6	12
89	ничего не	19	12
90	так что	21	12
91	к тому	6	12
92	между тем	3	12
93	не знает	2	12
94	что и	7	12
95	при этом	2	12
96	было бы	14	12
97	во всяком	5	12
98	но это	12	12
99	за пределы	4	12
100	и даже	23	12
101	и как	14	12
102	как в	3	12
103	себе и	5	12
104	отношении к	3	12
105	в котором	5	12
106	и что	17	12
107	у меня	4	12
108	не могут	4	11
109	конце концов	4	11
110	она не	10	11
111	так чтобы	2	11
112	бы и	4	11
113	он сам	6	11
114	должно быть	7	11
115	бы в	3	11
116	а я	3	11
117	тем что	2	11
118	сознания и	8	11
119	или как	2	11
120	с другой	10	11
121	их в	2	11
122	мы уже	8	11
123	как будто	7	11
124	отношение к	5	10
125	в него	2	10
126	что не	13	10
127	самого начала	2	10
128	я сам	2	10
129	как не	4	10
130	до сих	4	10
131	сих пор	4	10
132	лишь как	3	10
133	далеко не	2	10
134	и потому	6	9
135	с самого	2	9
136	или в	2	9
137	могут быть	6	9
138	в них	4	9
139	раз и	2	9
140	хотя и	4	9
141	да и	11	9
142	другой стороны	7	9
143	хотя бы	6	9
144	друг с	2	9
145	что у	3	9
146	точек зрения	3	9
147	ни в	20	9
148	всяком случае	3	9
149	в той	4	9
150	но он	3	9
151	мы должны	6	8
152	но как	7	8
153	уже в	5	8
154	никак не	6	8
155	это и	6	8
156	и о	4	8
157	того что	6	8
158	несмотря на	12	8
159	же не	4	8
160	с ними	4	8
161	и до	2	8
162	должна быть	5	8
163	и от	5	8
164	что это	21	8
165	все время	4	8
166	и он	6	8
167	с их	2	8
168	он есть	6	8
169	мы увидим	2	8
170	ни было	2	8
171	в результате	2	8
172	о том	8	8
173	и у	2	8
174	и так	2	8
175	с другом	2	8
176	из них	5	8
177	же и	11	8
178	не о	5	7
179	вопрос о	3	7
180	были бы	3	7
181	и следовательно	7	7
182	от него	4	7
183	в этих	6	7
184	но эта	4	7
185	с которым	2	7
186	в их	5	7
187	в виде	2	7
188	точку зрения	3	7
189	в виду	9	7
190	и др	2	7
191	это я	6	7
192	все его	3	7
193	к самому	3	7
194	только на	3	7
195	мира и	2	7
196	он с	2	7
197	и другого	3	7
198	что все	2	7
199	что они	8	7
200	все равно	7	7
201	например в	2	7
202	сказать что	19	7
203	в жизни	3	7
204	его с	6	7
205	друг другу	4	7
206	что она	18	7
207	мысли и	3	7
208	отличается от	3	7
209	т д	28	7
210	сама по	12	7
211	и их	5	7
212	такой же	2	7
213	во всех	3	7
214	если же	2	7
215	на мир	2	7
216	не было	7	7
217	как он	5	6
218	и вы	3	6
219	а с	2	6
220	по существу	2	6
221	не менее	5	6
222	стремится к	2	6
223	себя в	2	6
224	во время	2	6
225	для этого	2	6
226	как же	8	6
227	и нет	2	6
228	с этим	5	6
229	можно было	5	6
230	время не	3	6
231	во всем	3	6
232	зависимости от	2	6
233	кроме того	2	6
234	превращается в	2	6
235	и вот	10	6
236	но ведь	2	6
237	человек и	2	6
238	но для	2	6
239	и пр	7	6
240	и только	5	6
241	на меня	2	6
242	в этой	3	6
243	на то	5	6
244	он может	3	6
245	на почве	2	6
246	я в	3	6
247	в которых	2	6
248	на этом	4	6
249	жизни и	9	6
250	конечно не	9	6
251	в основе	4	6
252	отношения к	3	6
253	но с	4	6
254	нисколько не	7	5
255	и то	15	5
256	или иной	4	5
257	крайней мере	11	5
258	когда я	2	5
259	есть и	11	5
260	себе как	3	5
261	ведь это	3	5
262	была бы	4	5
263	со всеми	2	5
264	по своему	4	5
265	с тем	2	5
266	но так	2	5
267	тому что	4	5
268	они не	3	5
269	в общем	2	5
270	в чем	9	5
271	один из	3	5
272	в зависимости	2	5
273	той или	11	5
274	того и	3	5
275	в ее	3	5
276	та же	6	5
277	совершенно не	13	5
278	между собою	3	5
279	по крайней	11	5
280	зрения и	2	5
281	нет и	2	5
282	ни на	8	5
283	тому же	3	5
284	именно в	4	5
285	когда он	2	5
286	как можно	2	5
287	не могу	9	5
288	тотчас же	2	5
289	поэтому и	3	5
290	сам по	8	5
291	я и	3	5
292	быть и	7	5
293	в ней	4	5
294	вместе с	3	5
295	тем не	3	4
296	нет ни	4	4
297	стороны и	4	4
298	и слова	3	4
299	мысли в	2	4
300	от того	2	4
301	у вас	2	4
302	в одно	5	4
303	это как	3	4
304	или менее	5	4
305	не то	9	4
306	только с	3	4
307	но только	6	4
308	более или	5	4
309	тоже не	2	4
310	не значит	6	4
311	на себе	3	4
312	почему же	2	4
313	даже и	3	4
314	по мере	3	4
315	что оно	9	4
316	оно должно	2	4
317	то это	6	4
318	здесь в	3	4
319	связи с	3	4
320	при чем	2	4
321	понятно что	2	4
322	уже и	5	4
323	одно и	8	4
324	даны в	4	4
325	время как	7	4
326	то в	8	4
327	что с	2	4
328	то и	3	4
329	всех этих	4	4
330	в которой	3	4
331	о своем	2	4
332	это было	4	4
333	только что	5	4
334	к другу	2	4
335	что если	4	4
336	об этом	7	4
337	этом отношении	2	4
338	с этой	3	4
339	времени и	10	4
340	жизнь и	5	4
341	сами по	4	4
342	то он	2	4
343	вообще не	2	4
344	также и	7	4
345	себе но	2	4
346	что такое	13	4
347	все что	2	4
348	еще более	3	4
349	всех возможных	2	4
350	само по	7	4
351	образом и	3	4
352	и если	5	4
353	оно не	2	4
354	не есть	67	4
355	а лишь	3	4
356	еще в	2	4
357	все в	2	4
358	личности в	2	4
359	есть конечно	2	4
360	друг к	2	4
361	бы ни	3	4
362	мы и	3	4
363	чтобы не	6	3
364	во времени	4	3
365	тут в	2	3
366	тут и	2	3
367	о чем	4	3
368	есть только	9	3
369	человека и	2	3
370	является как	2	3
371	по своей	5	3
372	человека но	2	3
373	том или	2	3
374	другу как	3	3
375	есть нечто	16	3
376	это все	2	3
377	этот голос	3	3
378	же он	2	3
379	что даже	2	3
380	как я	3	3
381	именно как	2	3
382	что этот	3	3
383	и человек	2	3
384	что на	2	3
385	меня и	2	3
386	тут не	5	3
387	в узком	2	3
388	почти не	3	3
389	и та	8	3
390	кто же	2	3
391	нуждается в	6	3
392	не бывает	2	3
393	и по	5	3
394	же в	2	3
395	самый факт	2	3
396	дана как	2	3
397	е в	3	3
398	можно сказать	10	3
399	должны быть	2	3
400	говорят что	4	3
401	ее в	2	3
402	существенно и	2	3
403	того как	3	3
404	мы видим	6	3
405	и вообще	10	3
406	есть то	2	3
407	и мы	8	3
408	как например	2	3
409	в сознании	3	3
410	в данном	5	3
411	только то	7	3
412	из этих	2	3
413	себе а	2	3
414	говорить о	9	3
415	это вовсе	2	3
416	и еще	4	3
417	то время	3	3
418	мог бы	3	3
419	и больше	2	3
420	и уже	4	3
421	так вот	2	3
422	который не	2	3
423	именно и	2	3
424	но конечно	2	3
425	все они	2	3
426	не является	3	3
427	если и	2	3
428	и при	3	3
429	в изображении	2	3
430	и есть	20	3
431	себе не	7	3
432	но они	2	3
433	что тут	5	3
434	мы можем	5	3
435	мы замечаем	2	3
436	а он	4	3
437	не с	5	3
438	на нее	2	3
439	есть в	2	3
440	но уже	3	3
441	раз в	2	3
442	вы не	3	3
443	со своими	2	3
444	или наоборот	2	3
445	в смысле	5	3
446	если мы	3	3
447	как таковой	6	3
448	жизнь в	2	3
449	но что	10	3
450	только не	2	3
451	не должна	2	3
452	говорит о	6	3
453	в один	3	3
454	в таком	4	3
455	в различных	2	3
456	и эта	3	3
457	будто бы	3	3
458	мы будем	2	3
459	без всякого	3	3
460	тем же	3	3
461	еще и	4	2
462	где есть	3	2
463	также не	2	2
464	что их	2	2
465	тут надо	4	2
466	и почти	6	2
467	чтобы все	3	2
468	указывает на	3	2
469	которые были	2	2
470	и об	4	2
471	внешнее и	5	2
472	эти вопросы	3	2
473	на всю	6	2
474	об одном	3	2
475	не потому	5	2
