N	3gram	Trubetskoy	Literetu
1	в то же	2	21
2	то же время	2	21
3	в том что	3	21
4	с одной стороны	7	12
5	о том что	4	10
6	так или иначе	3	10
7	в этом отношении	2	10
8	с точки зрения	6	8
9	в том числе	5	6
10	к тому же	4	6
11	тем не менее	3	5
12	этой точки зрения	2	5
13	с этой точки	2	5
14	в связи с	3	5
15	бы то ни	2	4
16	то ни было	2	4
17	во всяком случае	6	3
18	то же самое	2	3
19	той или иной	2	3
20	по крайней мере	5	3
21	на то что	2	3
22	ничего общего с	2	3
23	том числе и	4	3
24	для того чтобы	5	2
25	и вместе с	4	2
26	а с другой	5	2
27	вместе с тем	8	2
