N	2gram	Tiupa_Hudo	Otkroven
1	о человеке	2	29
2	у него	13	22
3	и в	34	19
4	но и	13	13
5	и не	15	13
6	в этом	22	12
7	не только	22	11
8	человека в	10	11
9	не в	16	11
10	а не	23	11
11	может быть	12	11
12	и все	10	10
13	человека и	4	10
14	в нем	5	10
15	вопрос о	2	10
16	никогда не	8	9
17	в самой	2	9
18	потому что	7	9
19	в человеке	5	9
20	не было	8	9
21	прежде всего	12	9
22	и он	6	8
23	ни с	2	7
24	лишь в	5	7
25	в его	17	7
26	до конца	3	7
27	нет ничего	4	7
28	от него	3	7
29	он не	8	7
30	но он	3	7
31	как и	16	6
32	все это	2	6
33	для него	15	5
34	а в	11	5
35	в том	24	5
36	о его	2	5
37	него в	2	5
38	в творчестве	4	5
39	в самом	7	5
40	то что	13	5
41	в этой	11	5
42	отношение к	3	5
43	и его	8	4
44	что в	8	4
45	он сам	3	4
46	того чтобы	6	4
47	все эти	4	4
48	на земле	2	4
49	него и	2	4
50	т е	6	4
51	человеческих отношений	7	4
52	не может	10	4
53	о боге	2	4
54	все в	2	4
55	что не	4	4
56	с его	9	4
57	в себе	19	3
58	и от	6	3
59	о том	21	3
60	человека его	2	3
61	это не	12	3
62	к нему	2	3
63	что он	14	3
64	о природе	3	3
65	было бы	8	3
66	для того	3	3
67	еще не	10	3
68	все что	4	3
69	в этих	7	3
70	в своих	4	3
71	в русской	4	3
72	когда он	2	3
73	и ее	3	3
74	как бы	11	3
75	хотя бы	2	3
76	это было	2	3
77	с ним	6	3
78	быть может	7	3
79	мысли и	2	3
80	того что	5	3
81	как к	4	2
82	одно из	4	2
83	и то	2	2
84	сказать что	3	2
85	и на	6	2
86	этом он	2	2
87	уже в	2	2
88	что же	4	2
89	мысль о	2	2
90	и для	5	2
91	что все	3	2
92	не имеет	2	2
93	ничего не	11	2
94	и с	10	2
95	что и	3	2
96	и потому	3	2
97	в ее	16	2
98	вместо того	2	2
99	в других	4	2
100	в своем	9	2
101	тем что	6	2
102	человека а	2	2
103	но в	6	2
104	том что	31	2
105	к этой	4	2
106	все же	5	2
107	о которой	3	2
108	его героев	3	2
109	жизни в	12	2
110	в своей	15	2
111	он в	2	2
112	потребность в	2	2
113	так как	2	2
114	по себе	3	2
115	что у	4	2
116	же это	2	2
117	что они	4	2
118	так что	3	2
119	своей жизни	6	2
120	не все	2	2
121	должно быть	2	2
122	и о	8	2
123	в душе	6	2
124	человека есть	2	2
125	все еще	3	2
126	и к	6	2
127	так и	19	2
128	в которой	2	2
129	личности и	3	2
130	к ней	2	2
131	хотя и	3	2
132	в другом	3	2
133	сразу же	2	2
134	его в	5	2
