N	3gram	Ircho_Kome	Marksizm
1	с точки зрения	6	46
2	в самом деле	13	19
3	в то же	11	15
4	по отношению к	4	15
5	то же время	11	15
6	в связи с	3	14
7	в том что	15	14
8	бы то ни	3	12
9	то ни было	3	12
10	в высшей степени	2	12
11	для того чтобы	8	11
12	до сих пор	12	11
13	с самого начала	5	10
14	в отличие от	3	10
15	то же самое	3	8
16	с другой стороны	2	7
17	в свою очередь	10	7
18	во всяком случае	3	6
19	если бы он	3	6
20	с одной стороны	4	6
21	в этом отношении	2	5
22	в этом случае	2	5
23	о том что	7	4
24	но все же	3	4
25	тем не менее	3	3
26	более или менее	2	3
27	и тот же	3	3
28	в конце концов	3	3
29	друг с другом	3	3
30	в том числе	2	3
31	одной стороны и	2	3
32	и речи о	3	3
33	выходят за пределы	2	3
34	один и тот	3	3
35	том числе и	2	3
36	в достаточной степени	3	2
37	в чем же	2	2
38	но и здесь	2	2
39	до тех пор	5	2
40	что он не	3	2
41	и в самом	7	2
42	к тому же	9	2
43	обстоит дело с	3	2
44	чуть ли не	2	2
45	так или иначе	3	2
