N	3gram	Voloshinov	Morfolog
1	не может быть	14	9
2	по отношению к	11	7
3	с точки зрения	15	6
4	тем не менее	4	6
5	а также и	2	5
6	на самом деле	4	4
7	в том что	9	4
8	к тому что	2	4
9	не могут быть	4	4
10	о том что	3	3
11	бы то ни	3	3
12	для того чтобы	3	3
13	и пр и	2	3
14	в большинстве случаев	5	3
15	в собственном смысле	3	3
16	в таких случаях	2	2
17	во всяком случае	8	2
18	то ни было	2	2
19	мы увидим что	4	2
20	в данном случае	4	2
21	в этом отношении	4	2
22	и тем не	2	2
23	может быть и	6	2
24	а вовсе не	3	2
25	говорить о том	2	2
26	с одной стороны	2	2
