N	2gram	Propp_Russ	VrazhdaK
1	в году	5	18
2	не только	28	9
3	и что	8	8
4	в этом	18	8
5	и в	59	8
6	что в	35	7
7	но и	20	7
8	и все	4	7
9	то что	10	7
10	года в	2	7
11	но в	5	6
12	как и	19	6
13	в котором	2	6
14	в нем	3	6
15	и с	12	6
16	все же	7	6
17	и не	6	5
18	не было	3	5
19	об этом	11	5
20	в россии	4	5
21	то же	6	5
22	в то	3	5
23	у него	2	5
24	между тем	9	5
25	для нас	12	4
26	уже в	2	4
27	несмотря на	4	4
28	в своих	3	4
29	это не	14	4
30	в виду	3	4
31	все это	12	4
32	при этом	11	4
33	о том	14	4
34	в ней	3	4
35	как бы	18	4
36	так же	7	4
37	что он	2	4
38	с ним	2	4
39	может быть	14	4
40	т е	41	3
41	и у	5	3
42	в том	33	3
43	одним из	2	3
44	его в	9	3
45	далеко не	5	3
46	что у	3	3
47	считал что	2	3
48	и во	2	3
49	в своем	3	3
50	том что	33	3
51	в его	3	3
52	в связи	4	3
53	и о	4	3
54	и его	2	3
55	и как	2	3
56	в этот	19	3
57	он был	2	3
58	связи с	6	3
59	к этому	7	3
60	но он	3	3
61	на то	2	3
62	что есть	2	3
63	тем что	7	3
64	в честь	5	2
65	же не	2	2
66	и то	2	2
67	в них	10	2
68	уже не	9	2
69	а н	21	2
70	одна из	12	2
71	к ним	4	2
72	начиная с	4	2
73	место в	2	2
74	в него	2	2
75	в эти	4	2
76	и это	2	2
77	в в	3	2
78	довольно много	2	2
79	на первый	3	2
80	с точки	3	2
81	а в	16	2
82	а также	6	2
83	в этой	4	2
84	тогда как	4	2
85	том же	6	2
86	его с	4	2
87	он пишет	2	2
88	же в	5	2
89	еще не	7	2
90	и а	4	2
91	точки зрения	3	2
92	о чем	7	2
93	же как	5	2
94	после этого	6	2
95	таким образом	10	2
96	и ее	3	2
97	во время	23	2
98	в период	2	2
99	его и	2	2
100	на место	2	2
101	п в	25	2
102	в свою	3	2
103	так в	5	2
104	их в	7	2
105	в эту	3	2
106	не может	6	2
107	из них	12	2
108	ответ на	2	2
109	в это	4	2
110	не менее	3	2
111	там же	15	2
112	но это	5	2
113	отнюдь не	3	2
114	а с	6	2
115	вместе с	16	2
