N	2gram	Tiupa_Anal	KFilosof
1	может быть	33	45
2	в его	15	42
3	в нем	3	32
4	не может	26	29
5	и не	33	28
6	и в	30	28
7	по отношению	10	26
8	в котором	5	24
9	отношению к	9	22
10	не есть	8	22
11	в себе	17	21
12	и его	9	18
13	только в	8	18
14	в своем	2	17
15	в ее	2	17
16	а не	25	17
17	в этом	31	15
18	не в	17	13
19	для него	5	13
20	точки зрения	10	13
21	но не	13	12
22	к нему	4	12
23	ни в	5	12
24	в своей	7	11
25	во всех	5	11
26	все эти	3	11
27	это не	7	10
28	в целом	9	10
29	от себя	4	10
30	и для	3	10
31	все это	2	10
32	с точки	6	10
33	бытия и	2	10
34	и есть	3	10
35	в их	8	9
36	для нее	2	9
37	но и	29	9
38	как бы	15	9
39	и все	5	9
40	себя в	8	8
41	если бы	6	8
42	лишь в	12	8
43	со стороны	5	8
44	в мире	14	8
45	было бы	4	8
46	в себя	8	8
47	для себя	3	7
48	должен быть	6	7
49	совершенно не	2	7
50	то что	11	7
51	уже не	6	7
52	отнюдь не	22	7
53	что и	5	7
54	вовсе не	4	7
55	на основе	3	7
56	должно быть	2	6
57	отношение к	2	6
58	мира в	2	6
59	в том	36	6
60	смысл и	3	6
61	место в	3	6
62	и их	2	6
63	я не	2	6
64	он не	4	6
65	никогда не	4	5
66	принципиально не	3	5
67	его в	2	5
68	все же	4	5
69	не только	30	5
70	мы имеем	9	5
71	бы быть	3	5
72	его как	3	5
73	хотя бы	4	5
74	то же	12	5
75	ни одно	2	5
76	еще не	5	5
77	не знает	4	5
78	а в	11	5
79	но в	11	5
80	в контексте	5	5
81	как и	23	5
82	именно в	6	5
83	в одном	3	5
84	себя и	5	5
85	я и	8	5
86	с ним	6	5
87	в основе	6	5
88	тем самым	9	4
89	том что	21	4
90	что в	7	4
91	могла бы	3	4
92	не как	2	4
93	и т.д	4	4
94	ни было	4	4
95	времени и	7	4
96	о нем	4	4
97	прежде всего	8	4
98	в чем	2	4
99	с другим	5	4
100	ценностного центра	2	4
101	в категориях	2	4
102	с ними	2	4
103	при этом	20	4
104	между тем	7	4
105	других людей	2	3
106	или иного	3	3
107	ничего не	10	3
108	того или	3	3
109	ним и	2	3
110	в то	10	3
111	на самом	2	3
112	от него	2	3
113	здесь не	2	3
114	всех этих	2	3
115	этого мира	2	3
116	в другом	4	3
117	мира не	2	3
118	события в	2	3
119	тем что	2	3
120	и тем	4	3
121	бы не	3	3
122	для того	4	3
123	самом деле	3	3
124	тем как	2	3
125	в виду	2	3
126	и тот	2	3
127	не должен	2	3
128	нет и	2	3
129	не менее	5	3
130	независимо от	2	3
131	только с	2	3
132	о том	11	3
133	в акте	2	3
134	не могу	2	3
135	вступает в	4	3
136	могут быть	12	3
137	этом смысле	3	3
138	тогда когда	3	3
139	и та	2	3
140	и на	10	3
141	в данный	2	3
142	что не	3	3
143	и другого	4	3
144	лишь при	4	3
145	того что	5	3
146	данный момент	2	3
147	той или	8	3
148	жизни но	3	3
149	из его	2	3
150	тот же	2	3
151	не о	3	2
152	и то	4	2
153	для этого	2	2
154	в соответствии	2	2
155	смысла и	3	2
156	или иной	8	2
157	и потому	2	2
158	я его	2	2
159	научного мышления	2	2
160	в данном	6	2
161	его к	3	2
162	сознания в	4	2
163	говорить о	3	2
164	то ни	3	2
165	к этому	2	2
166	дело не	5	2
167	вопрос о	2	2
168	в составе	2	2
169	эстетического субъекта	3	2
170	с ее	2	2
171	тем не	3	2
172	как к	2	2
173	и как	6	2
174	в принципе	8	2
175	а как	4	2
176	все они	2	2
177	это только	2	2
178	имеют место	2	2
179	в области	4	2
180	не остается	2	2
181	а с	3	2
182	одного и	2	2
183	героя это	2	2
184	что он	3	2
185	из которых	4	2
186	вследствие этого	5	2
187	и за	3	2
188	так и	16	2
189	его и	3	2
190	может иметь	2	2
191	смысла в	2	2
192	едва ли	4	2
193	как в	3	2
194	как предмет	4	2
195	думать что	2	2
196	в сознании	6	2
197	тому что	2	2
198	дело с	5	2
199	он может	2	2
200	выход из	2	2
201	ему в	3	2
202	соответствии с	3	2
203	если не	2	2
204	в процессе	2	2
205	он и	3	2
206	один из	4	2
207	по себе	6	2
208	и просто	2	2
209	потому что	3	2
210	подхода к	3	2
211	существенно что	2	2
212	не будет	3	2
213	раз и	2	2
214	может не	2	2
215	того чтобы	3	2
216	и того	5	2
217	сводится к	6	2
218	и эти	2	2
219	ведь это	2	2
220	и смерти	4	2
221	не следует	6	2
222	в качестве	38	2
223	же время	7	2
224	человек и	2	2
225	быть не	3	2
226	этого слова	10	2
227	в этой	12	2
228	бы то	3	2
229	основе своей	2	2
230	с его	3	2
