N	2gram	Berdyaev_V	slovoVRo
1	и в	16	92
2	и т	2	82
3	в нем	4	59
4	и не	20	51
5	не только	2	44
6	но и	5	39
7	в этом	4	36
8	а не	7	34
9	во всех	3	32
10	так и	4	30
11	могут быть	2	29
12	в его	4	27
13	все это	5	25
14	как бы	5	24
15	не в	3	21
16	прежде всего	2	19
17	как и	4	18
18	с ним	2	18
19	оно не	3	17
20	все эти	3	17
21	в истории	8	17
22	в них	3	16
23	но в	3	16
24	только в	2	14
25	это не	2	13
26	с его	3	13
27	и для	3	13
28	никогда не	3	12
29	и потому	7	12
30	а в	2	12
31	во всяком	2	12
32	еще не	8	12
33	один из	2	11
34	в этих	3	11
35	для него	2	11
36	в том	3	10
37	и все	4	10
38	т д	2	10
39	лишь в	3	10
40	уже не	2	10
41	в своей	3	9
42	одна из	2	9
43	так как	9	9
44	но не	2	9
45	конечно не	2	9
46	не могут	2	8
47	человека и	6	8
48	в ней	4	8
49	для нас	2	8
50	том что	2	7
51	от него	2	7
52	его не	2	7
53	жизни и	3	7
54	не было	3	7
55	бы и	3	6
56	что в	3	6
57	ни в	3	6
58	говорить о	4	6
59	хотя бы	3	6
60	между тем	2	6
61	мы не	2	5
62	хотя и	5	5
63	его и	2	5
64	должна быть	3	5
65	не с	2	5
66	и сам	2	5
67	что и	3	4
68	что он	4	4
69	того что	5	4
70	в чем	3	4
71	того чтобы	2	4
72	и во	2	4
73	но это	3	4
74	к тому	3	4
75	они в	3	4
76	в себя	2	4
77	в духе	2	3
78	людей и	2	3
79	тому что	3	3
80	на том	2	3
81	и они	3	3
82	и то	2	3
83	от этого	3	3
84	должно быть	3	3
85	тем что	2	3
86	не есть	6	3
87	мир и	2	3
88	потому что	4	3
89	все что	4	3
90	и это	2	3
91	личности и	3	3
92	в форме	2	3
93	но мы	2	2
94	материалом для	2	2
95	и есть	4	2
96	и за	2	2
97	а с	2	2
98	то что	9	2
99	от этих	2	2
100	в прошлом	2	2
101	что все	4	2
102	понимает и	2	2
103	в образе	4	2
104	что не	4	2
105	для них	2	2
106	что они	7	2
107	да и	2	2
108	и что	3	2
109	можно было	2	2
110	их от	3	2
111	от которого	3	2
112	в последнем	2	2
113	мира в	2	2
114	человека как	2	2
115	в жизни	3	2
116	за ним	3	2
117	нет и	2	2
118	в котором	4	2
119	а между	2	2
120	нас и	3	2
121	соединение в	2	2
122	не к	2	2
123	мы и	2	2
