N	3gram	Ircho_Kome	Problemy
1	то же время	11	26
2	в то же	11	26
3	с точки зрения	6	25
4	по отношению к	4	18
5	и т п	4	18
6	в конце концов	3	11
7	до сих пор	12	10
8	с самого начала	5	9
9	в самом деле	13	9
10	во всяком случае	3	9
11	с другой стороны	2	9
12	друг с другом	3	8
13	в том что	15	8
14	бы то ни	3	7
15	и в то	2	7
16	в отличие от	3	6
17	то ни было	3	6
18	к тому же	9	5
19	в высшей степени	2	5
20	но все же	3	5
21	тем не менее	3	4
22	более или менее	2	4
23	о том что	7	4
24	в этом отношении	2	4
25	именно потому что	2	4
26	хотя и не	2	4
27	он и не	2	4
28	в то время	3	3
29	и в самом	7	3
30	т е в	2	3
31	то время как	3	3
32	в этом случае	2	3
33	что он в	2	2
34	что и в	2	2
35	то же самое	3	2
36	и к тому	2	2
37	что он не	3	2
38	в чем не	2	2
39	друг за другом	2	2
40	если бы он	3	2
41	таким образом и	2	2
42	на этот раз	2	2
43	в том же	2	2
44	вместе с тем	5	2
45	ни в чем	2	2
46	для того чтобы	8	2
47	в свою очередь	10	2
